country,iso3,year,net_migration
Angola,AGO,2025,-3524
Angola,AGO,2024,-2629
Angola,AGO,2023,-995
Angola,AGO,2022,-995
Angola,AGO,2021,29094
Angola,AGO,2020,7556
Angola,AGO,2019,58984
Angola,AGO,2018,61632
Angola,AGO,2017,77731
Angola,AGO,2016,91614
Burundi,BDI,2025,-34727
Burundi,BDI,2024,-27074
Burundi,BDI,2023,1995
Burundi,BDI,2022,1995
Burundi,BDI,2021,-14415
Burundi,BDI,2020,-10189
Burundi,BDI,2019,14253
Burundi,BDI,2018,68141
Burundi,BDI,2017,-68349
Burundi,BDI,2016,-109296
Central African Republic,CAF,2025,-14693
Central African Republic,CAF,2024,-15357
Central African Republic,CAF,2023,-14682
Central African Republic,CAF,2022,-17430
Central African Republic,CAF,2021,-85646
Central African Republic,CAF,2020,-24745
Central African Republic,CAF,2019,-36849
Central African Republic,CAF,2018,-52954
Central African Republic,CAF,2017,-58584
Central African Republic,CAF,2016,-52607
Cote d'Ivoire,CIV,2025,11305
Cote d'Ivoire,CIV,2024,7838
Cote d'Ivoire,CIV,2023,6002
Cote d'Ivoire,CIV,2022,26777
Cote d'Ivoire,CIV,2021,1322
Cote d'Ivoire,CIV,2020,-12390
Cote d'Ivoire,CIV,2019,2043
Cote d'Ivoire,CIV,2018,5395
Cote d'Ivoire,CIV,2017,-796
Cote d'Ivoire,CIV,2016,18568
Cameroon,CMR,2025,-15379
Cameroon,CMR,2024,-13892
Cameroon,CMR,2023,-4798
Cameroon,CMR,2022,-4798
Cameroon,CMR,2021,-9888
Cameroon,CMR,2020,-9888
Cameroon,CMR,2019,-12255
Cameroon,CMR,2018,-9184
Cameroon,CMR,2017,-37912
Cameroon,CMR,2016,13255
"Congo, Dem. Rep.",COD,2025,-27309
"Congo, Dem. Rep.",COD,2024,-26968
"Congo, Dem. Rep.",COD,2023,-14992
"Congo, Dem. Rep.",COD,2022,-14991
"Congo, Dem. Rep.",COD,2021,-64639
"Congo, Dem. Rep.",COD,2020,-1633
"Congo, Dem. Rep.",COD,2019,-144920
"Congo, Dem. Rep.",COD,2018,-124246
"Congo, Dem. Rep.",COD,2017,176290
"Congo, Dem. Rep.",COD,2016,440748
Algeria,DZA,2025,-27531
Algeria,DZA,2024,-31240
Algeria,DZA,2023,-25963
Algeria,DZA,2022,-14684
Algeria,DZA,2021,-10803
Algeria,DZA,2020,-10798
Algeria,DZA,2019,-27786
Algeria,DZA,2018,-27146
Algeria,DZA,2017,-14403
Algeria,DZA,2016,-6438
"Egypt, Arab Rep.",EGY,2025,-57305
"Egypt, Arab Rep.",EGY,2024,123884
"Egypt, Arab Rep.",EGY,2023,305006
"Egypt, Arab Rep.",EGY,2022,13707
"Egypt, Arab Rep.",EGY,2021,6161
"Egypt, Arab Rep.",EGY,2020,6016
"Egypt, Arab Rep.",EGY,2019,7050
"Egypt, Arab Rep.",EGY,2018,20788
"Egypt, Arab Rep.",EGY,2017,-80000
"Egypt, Arab Rep.",EGY,2016,-71604
Eritrea,ERI,2025,-6698
Eritrea,ERI,2024,-12696
Eritrea,ERI,2023,-15284
Eritrea,ERI,2022,-17134
Eritrea,ERI,2021,-14966
Eritrea,ERI,2020,-14967
Eritrea,ERI,2019,-29818
Eritrea,ERI,2018,-21403
Eritrea,ERI,2017,-38579
Eritrea,ERI,2016,-55431
Ethiopia,ETH,2025,24054
Ethiopia,ETH,2024,30069
Ethiopia,ETH,2023,-11996
Ethiopia,ETH,2022,-11996
Ethiopia,ETH,2021,-1377
Ethiopia,ETH,2020,38866
Ethiopia,ETH,2019,-10807
Ethiopia,ETH,2018,9302
Ethiopia,ETH,2017,71766
Ethiopia,ETH,2016,115823
Ghana,GHA,2025,-17079
Ghana,GHA,2024,-13114
Ghana,GHA,2023,-10003
Ghana,GHA,2022,-10003
Ghana,GHA,2021,-11259
Ghana,GHA,2020,-291
Ghana,GHA,2019,-21857
Ghana,GHA,2018,-19375
Ghana,GHA,2017,-4913
Ghana,GHA,2016,7009
Guinea,GIN,2025,-16282
Guinea,GIN,2024,-12024
Guinea,GIN,2023,-3997
Guinea,GIN,2022,-3997
Guinea,GIN,2021,-4373
Guinea,GIN,2020,-4365
Guinea,GIN,2019,-3240
Guinea,GIN,2018,-9187
Guinea,GIN,2017,-13718
Guinea,GIN,2016,-14189
"Gambia, The",GMB,2025,-2984
"Gambia, The",GMB,2024,-2989
"Gambia, The",GMB,2023,-3000
"Gambia, The",GMB,2022,-3000
"Gambia, The",GMB,2021,-1949
"Gambia, The",GMB,2020,-1949
"Gambia, The",GMB,2019,-4186
"Gambia, The",GMB,2018,-3944
"Gambia, The",GMB,2017,-3696
"Gambia, The",GMB,2016,-3486
Guinea-Bissau,GNB,2025,-1373
Guinea-Bissau,GNB,2024,-1712
Guinea-Bissau,GNB,2023,-1400
Guinea-Bissau,GNB,2022,-1400
Guinea-Bissau,GNB,2021,-1395
Guinea-Bissau,GNB,2020,-1394
Guinea-Bissau,GNB,2019,-1395
Guinea-Bissau,GNB,2018,-1396
Guinea-Bissau,GNB,2017,-1398
Guinea-Bissau,GNB,2016,-1392
Kenya,KEN,2025,-27330
Kenya,KEN,2024,-19781
Kenya,KEN,2023,-10003
Kenya,KEN,2022,-10003
Kenya,KEN,2021,-52552
Kenya,KEN,2020,-17111
Kenya,KEN,2019,-61949
Kenya,KEN,2018,-115436
Kenya,KEN,2017,-68702
Kenya,KEN,2016,-29728
Liberia,LBR,2025,-9870
Liberia,LBR,2024,-7779
Liberia,LBR,2023,-5002
Liberia,LBR,2022,-5003
Liberia,LBR,2021,-11852
Liberia,LBR,2020,-10107
Liberia,LBR,2019,-19678
Liberia,LBR,2018,-23199
Liberia,LBR,2017,-24807
Liberia,LBR,2016,-26796
Lesotho,LSO,2025,-5192
Lesotho,LSO,2024,-5107
Lesotho,LSO,2023,-5168
Lesotho,LSO,2022,-6023
Lesotho,LSO,2021,-3449
Lesotho,LSO,2020,-3449
Lesotho,LSO,2019,-6896
Lesotho,LSO,2018,-6892
