country,iso3,year,population
Angola,AGO,2025,39040039
Angola,AGO,2024,37885849
Angola,AGO,2023,36749906
Angola,AGO,2022,35635029
Angola,AGO,2021,34532429
Angola,AGO,2020,33451132
Angola,AGO,2019,32375632
Angola,AGO,2018,31297155
Burundi,BDI,2025,14390003
Burundi,BDI,2024,14047786
Burundi,BDI,2023,13689450
Burundi,BDI,2022,13321097
Burundi,BDI,2021,12965481
Burundi,BDI,2020,12617036
Burundi,BDI,2019,12255336
Burundi,BDI,2018,11859446
Central African Republic,CAF,2025,5513282
Central African Republic,CAF,2024,5330690
Central African Republic,CAF,2023,5152421
Central African Republic,CAF,2022,5098039
Central African Republic,CAF,2021,5112100
Central African Republic,CAF,2020,5026628
Central African Republic,CAF,2019,4944703
Central African Republic,CAF,2018,4878657
Cote d'Ivoire,CIV,2025,32711547
Cote d'Ivoire,CIV,2024,31934230
Cote d'Ivoire,CIV,2023,31165654
Cote d'Ivoire,CIV,2022,30395002
Cote d'Ivoire,CIV,2021,29639736
Cote d'Ivoire,CIV,2020,28915449
Cote d'Ivoire,CIV,2019,28193009
Cote d'Ivoire,CIV,2018,27464173
Cameroon,CMR,2025,29879337
Cameroon,CMR,2024,29123744
Cameroon,CMR,2023,28372687
Cameroon,CMR,2022,27632771
Cameroon,CMR,2021,26915758
Cameroon,CMR,2020,26210558
Cameroon,CMR,2019,25506095
Cameroon,CMR,2018,24806383
"Congo, Dem. Rep.",COD,2025,112832473
"Congo, Dem. Rep.",COD,2024,109276265
"Congo, Dem. Rep.",COD,2023,105789731
"Congo, Dem. Rep.",COD,2022,102396968
"Congo, Dem. Rep.",COD,2021,99148932
"Congo, Dem. Rep.",COD,2020,95989998
"Congo, Dem. Rep.",COD,2019,92947442
"Congo, Dem. Rep.",COD,2018,90047644
Algeria,DZA,2025,47435312
Algeria,DZA,2024,46814308
Algeria,DZA,2023,46164219
Algeria,DZA,2022,45477389
Algeria,DZA,2021,44761099
Algeria,DZA,2020,44042091
Algeria,DZA,2019,43294546
Algeria,DZA,2018,42505035
"Egypt, Arab Rep.",EGY,2025,118365995
"Egypt, Arab Rep.",EGY,2024,116538258
"Egypt, Arab Rep.",EGY,2023,114535772
