country_code,country_name,region,year,internet_users_pct,mobile_subscriptions_per100,fixed_broadband_per100,hightech_exports_pct,rnd_expenditure_pct,internet_mobile_ratio,digital_readiness_score
LBY,Libya,North Africa,2024,81.95449829,,,,,,86.39
USA,United States,USA,2024,94.69380188,113.190481805755,38.8571729185246,24.322982844202,,0.8366,84.81
MUS,Mauritius,East Africa,2024,73.30793533,172.68356921857,27.9742504733832,1.21703538647261,0.26181,0.4245,78.89
DJI,Djibouti,East Africa,2024,65.29889679,,,,,,68.6
MAR,Morocco,North Africa,2024,91.2,153.057260079672,7.30282126551091,,,0.5959,63.89
ZAF,South Africa,Southern Africa,2024,78.35759735,179.336329840585,5.34791194620067,5.70923344153222,,0.4369,62.51
TUN,Tunisia,North Africa,2024,76.5,117.606816067203,14.9741523024679,,,0.6505,58.66
DZA,Algeria,North Africa,2024,77.4178009,115.457278573892,13.3173088877016,,0.44395,0.6705,57.17
BWA,Botswana,Southern Africa,2024,57.45950036,163.999922257361,7.4409622000215,,,0.3504,54.02
EGY,"Egypt, Arab Rep.",North Africa,2024,74.64839935,97.1295066037455,11.6871225241757,3.81290087814207,1.01757,0.7685,51.39
CPV,Cabo Verde,West Africa,2024,74.73519897,111.84067886381,8.30537440200276,,,0.6682,51.25
CMR,Cameroon,West Africa,2024,46.25880051,108.213130152497,,,,0.4275,49.97
CIV,Cote d'Ivoire,West Africa,2024,41.43219902,183.875985110648,1.60153227430253,5.25759412069948,,0.2253,46.99
SEN,Senegal,West Africa,2024,60.11780167,123.894453697506,4.03828584004829,3.0439766592332,,0.4852,44.62
GHA,Ghana,West Africa,2024,72.17569733,113.647966704673,0.664728986034211,,,0.6351,44.12
GMB,"Gambia, The",West Africa,2024,49.49430084,126.243773523653,0.518552979215852,3.34757896376015,,0.3921,38.25
MLI,Mali,West Africa,2024,36.80149841,,,,,,38.16
NAM,Namibia,Southern Africa,2024,64.87460327,85.1648988113055,2.83462992194067,0.117288080576373,,0.7618,38.1
KEN,Kenya,East Africa,2024,34.97622513,126.477706000949,3.04382666975517,3.15003013612034,0.81069,0.2765,35.29
GIN,Guinea,West Africa,2024,33.30469894,,,,,,34.42
COM,Comoros,East Africa,2024,32.51750183,,,,,,33.58
LBR,Liberia,West Africa,2024,32.23360062,,,,,,33.28
BEN,Benin,West Africa,2024,33.98379898,125.940873932186,0.277382047807868,30.5389584270212,,0.2698,32.46
STP,Sao Tome and Principe,West Africa,2024,59.11759949,62.4367400312479,2.9940221452347,,,0.9468,31.97
TZA,Tanzania,East Africa,2024,31.16209984,126.559163217786,0.246433216306666,3.00569275084221,,0.2462,31.55
ZWE,Zimbabwe,East Africa,2024,41.64279938,94.2451753366358,1.93865437549104,2.79801736625087,,0.4419,30.74
BFA,Burkina Faso,West Africa,2024,28.25270081,116.5895933212,0.851360416490348,1.64548901950889,0.10477,0.2423,29.18
SOM,"Somalia, Fed. Rep.",East Africa,2024,27.94020081,,,,,,28.69
TGO,Togo,West Africa,2024,39.48320007,80.8035554767112,1.41538265577438,0.681948279595617,0.22229,0.4886,27.03
RWA,Rwanda,East Africa,2024,31.70330048,93.201462876722,0.595648307197658,,,0.3402,25.85
SLE,Sierra Leone,West Africa,2024,25.10499954,,,,,,25.66
NGA,Nigeria,West Africa,2024,41.21139908,70.7619057835431,0.0787379280608494,2.71167186435579,,0.5824,24.64
AGO,Angola,Southern Africa,2024,40.70479965,69.7039467163584,0.362845240712436,16.6897206933082,,0.584,24.5
ZMB,Zambia,East Africa,2024,17.10099983,108.704779873813,0.789797548725881,1.4719428559393,,0.1573,23.7
MDG,Madagascar,East Africa,2024,18.67790031,,,0.958835172179217,,,18.8
ETH,Ethiopia,East Africa,2024,21.94129944,65.0825091944922,0.593917449513598,,,0.3371,17.16
MWI,Malawi,East Africa,2024,18.96159935,69.260530662121,0.0863853749149284,1.64552794448662,,0.2738,16.44
SDN,Sudan,North Africa,2017,18.60000038,67.0598253428254,0.071519364027593,0.600626152786153,,0.2774,15.89
UGA,Uganda,East Africa,2024,8.949831061,83.165031466902,0.207613333991268,1.91593833437355,,0.1076,15.56
NER,Niger,West Africa,2024,15.55760002,60.5939862118112,0.111273829357144,8.61766309210248,,0.2568,13.65
MOZ,Mozambique,East Africa,2024,20.52729988,49.5047696961223,0.141999688956087,3.6302648420799,,0.4147,13.39
ERI,Eritrea,East Africa,2020,14.34939957,54.7205015934574,0.151916994984612,,,0.2622,12.16
SSD,South Sudan,East Africa,2019,6.671000004,21.3171365460584,0.0019187626590366,,,0.3129,3.11
