country_code,country_name,indicator_id,indicator_name,year,value
ETH,Ethiopia,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2023,3.75062055802087
ETH,Ethiopia,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2022,3.21026574936058
ETH,Ethiopia,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2021,8.54658883162268
ETH,Ethiopia,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2020,13.1014525306681
ETH,Ethiopia,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2019,9.42339221070521
ETH,Ethiopia,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2018,13.6451525613537
ETH,Ethiopia,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2017,5.83937193918337
ETH,Ethiopia,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2016,6.82740269371127
ETH,Ethiopia,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2015,6.19452786285451
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2024,3.15003013612034
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2023,3.04169416728318
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2022,2.26073811025712
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2021,3.12736061396888
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2020,5.11178261072947
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2019,4.59327769222193
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2018,3.61296275113367
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2017,3.34859041785183
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2016,7.58623435569943
KEN,Kenya,TX.VAL.TECH.MF.ZS,High-technology exports (% of manufactured exports),2015,4.3660951885799
