country_code,country_name,indicator_id,indicator_name,year,value
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,21.94129944
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,20.33749962
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,17.9836998
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,16.6981031
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,16.06959915
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,15.98460007
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,15.88619995
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,15.62440014
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,15.3669238595896
ETH,Ethiopia,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,13.8551755555556
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,34.97622513
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,32.07040024
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,29.40589905
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,26.96290016
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,24.7227993
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,22.6687733618171
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,19.5
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,17.82710075
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,16.6
KEN,Kenya,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,16.5878548475992
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,18.67790031
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,18.24080086
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2022,17.81170082
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2021,13.74590015
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2020,11.35470009
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2019,9.379400253
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2018,7.747799873
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2017,6.406000137
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2016,4.713699818
MDG,Madagascar,IT.NET.USER.ZS,Individuals using the Internet (% of population),2015,4.173999786
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2024,20.52729988
MOZ,Mozambique,IT.NET.USER.ZS,Individuals using the Internet (% of population),2023,19.94560051
