country_code,country_name,indicator_id,indicator_name,year,value
ETH,Ethiopia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2024,65.0825091944922
ETH,Ethiopia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2023,59.8748744402242
ETH,Ethiopia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2022,56.9642988837987
ETH,Ethiopia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2021,52.8088633217211
ETH,Ethiopia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2020,37.4208472347226
ETH,Ethiopia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2019,36.2199307720652
ETH,Ethiopia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2017,36.1094836260863
ETH,Ethiopia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2016,47.9993274246983
ETH,Ethiopia,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2015,40.7363012371526
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2024,126.477706000949
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2023,120.612416887959
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2022,121.168999135357
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2021,122.297519656734
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2020,117.602526394779
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2019,106.547822056778
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2018,98.5944679106884
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2017,87.026530838819
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2016,80.9772361004341
KEN,Kenya,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2015,80.0958263165851
MDG,Madagascar,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2023,75.4562966735535
MDG,Madagascar,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2022,64.7494924066919
MDG,Madagascar,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2021,53.9177233784298
MDG,Madagascar,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2020,54.8084663590199
MDG,Madagascar,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2019,46.077978411707
MDG,Madagascar,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2018,38.7515500132643
MDG,Madagascar,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2017,32.5906255978573
MDG,Madagascar,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2016,30.6447038676546
MDG,Madagascar,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2015,42.0572239372609
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2024,49.5047696961223
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2023,47.5003032540948
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2022,45.8178199662019
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2021,43.1636190464176
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2020,50.2318825476662
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2019,49.4350694242276
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2018,48.5007087167822
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2017,42.1619694080105
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2016,54.9641156223382
MOZ,Mozambique,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2015,75.8447213176406
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2024,69.260530662121
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2023,61.0866071008045
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2022,59.6495709408963
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2021,59.5599408158462
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2020,51.2170439392301
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2019,46.7841008334388
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2018,38.1955692011493
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2017,43.0855088342582
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2016,40.8844441758703
MWI,Malawi,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2015,38.4341901744435
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2024,93.201462876722
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2023,91.4622704078141
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2022,80.5952224850433
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2021,81.6381635400584
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2020,81.2378724761376
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2019,75.5985451901883
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2018,77.679469147812
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2017,72.2764598764471
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2016,74.8502057565523
RWA,Rwanda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2015,75.2543165296423
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2024,126.559163217786
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2023,105.40028112088
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2022,93.0159746238635
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2021,86.0162814148027
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2020,84.0050558283384
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2019,80.5835569684446
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2018,75.7301934140355
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2017,71.7911684370749
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2016,74.3983656514054
TZA,Tanzania,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2015,76.2492627491202
UGA,Uganda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2024,83.165031466902
UGA,Uganda,IT.CEL.SETS.P2,Mobile cellular subscriptions (per 100 people),2023,76.2966796632588
