country_code,country_name,region,year,health_expenditure_pct_gdp,life_expectancy_years,under5_mortality_per_1000
ETH,Ethiopia,Africa,2014,4.03365517,,
ETH,Ethiopia,Africa,2015,3.82316828,63.592,64.4
ETH,Ethiopia,Africa,2016,3.60033751,64.162,61.3
ETH,Ethiopia,Africa,2017,3.45336914,64.766,58.4
ETH,Ethiopia,Africa,2018,3.30371761,65.257,55.8
ETH,Ethiopia,Africa,2019,3.24287128,65.741,53.6
ETH,Ethiopia,Africa,2020,3.48096275,65.969,51.5
ETH,Ethiopia,Africa,2021,3.20779967,65.33,70.4
ETH,Ethiopia,Africa,2022,2.85298109,66.897,68.1
ETH,Ethiopia,Africa,2023,2.80310345,67.315,51.5
ETH,Ethiopia,Africa,2024,,67.603,44.5
GHA,Ghana,Africa,2014,4.01644135,,
GHA,Ghana,Africa,2015,4.54299259,63.175,52.5
GHA,Ghana,Africa,2016,3.39035821,63.522,50.3
GHA,Ghana,Africa,2017,2.68786979,63.829,48.2
GHA,Ghana,Africa,2018,2.43001175,64.138,46.1
GHA,Ghana,Africa,2019,3.25450468,64.455,44.1
GHA,Ghana,Africa,2020,4.4331708,64.309,42.2
GHA,Ghana,Africa,2021,3.86030865,64.286,40.3
GHA,Ghana,Africa,2022,3.67459154,65.246,38.6
GHA,Ghana,Africa,2023,2.94686937,65.498,37.2
GHA,Ghana,Africa,2024,,65.695,35.9
KEN,Kenya,Africa,2014,4.91267347,,
KEN,Kenya,Africa,2015,4.76439571,62.279,46.8
KEN,Kenya,Africa,2016,4.75429106,62.526,45.5
KEN,Kenya,Africa,2017,3.98597503,62.725,44.7
KEN,Kenya,Africa,2018,4.09903383,62.825,43.7
KEN,Kenya,Africa,2019,4.36874676,62.939,42.7
KEN,Kenya,Africa,2020,4.49248886,61.596,42.1
KEN,Kenya,Africa,2021,4.56992722,61.225,41.3
KEN,Kenya,Africa,2022,4.32241869,63.549,40.5
KEN,Kenya,Africa,2023,4.35172892,63.646,39.6
KEN,Kenya,Africa,2024,,63.834,38.8
MOZ,Mozambique,Africa,2014,6.24013042,,
MOZ,Mozambique,Africa,2015,6.60972881,58.711,75.8
MOZ,Mozambique,Africa,2016,7.21501875,59.455,73.3
MOZ,Mozambique,Africa,2017,7.80532169,60.148,72.0
MOZ,Mozambique,Africa,2018,7.97903347,60.79,70.2
MOZ,Mozambique,Africa,2019,7.90207434,61.306,68.6
MOZ,Mozambique,Africa,2020,7.55190039,61.39,67.6
MOZ,Mozambique,Africa,2021,8.64841366,60.268,65.5
MOZ,Mozambique,Africa,2022,8.24868107,63.011,63.9
