country_code,country_name,region,year,incidence_per_1000,low,high,deaths_count,deaths_low,deaths_high,malaria_burden_category,incidence_yoy_change
ETH,Ethiopia,Africa,2010,153.8421519,50.22238099,439.9762831,18909.0,4780.0,58100.0,medium,
ETH,Ethiopia,Africa,2011,143.6950999,57.57346562,375.2873071,16648.0,5400.0,44300.0,medium,-6.6
ETH,Ethiopia,Africa,2012,159.6738451,78.7492631,366.039927,19915.0,7200.0,44600.0,medium,11.12
ETH,Ethiopia,Africa,2013,184.0959032,100.8099893,340.344377,26097.0,9250.0,51400.0,medium,15.29
ETH,Ethiopia,Africa,2014,144.069847,54.10456645,251.5094851,22273.0,4860.0,54600.0,medium,-21.74
ETH,Ethiopia,Africa,2015,130.0601358,49.51826995,238.8060232,21051.0,4540.0,53300.0,medium,-9.72
ETH,Ethiopia,Africa,2016,92.88594821,38.87483249,171.829705,15473.0,3880.0,39100.0,low,-28.58
ETH,Ethiopia,Africa,2017,70.71058376,33.35468763,122.3471223,12046.0,3490.0,28000.0,low,-23.87
ETH,Ethiopia,Africa,2018,36.4607078,20.1053938,54.80551822,6500.0,2330.0,12800.0,low,-48.44
ETH,Ethiopia,Africa,2019,33.61048632,18.65889904,50.03388344,5708.0,2030.0,11200.0,low,-7.82
ETH,Ethiopia,Africa,2020,52.28211767,29.16769617,78.47779938,9424.0,3430.0,18600.0,low,55.55
ETH,Ethiopia,Africa,2021,45.55933568,25.25301448,67.99392993,8041.0,2890.0,15600.0,low,-12.86
ETH,Ethiopia,Africa,2022,59.88726611,33.2313284,89.39387915,10570.0,3820.0,20700.0,low,31.45
ETH,Ethiopia,Africa,2023,109.2392957,60.34529487,164.109707,18567.0,6760.0,36000.0,low,82.41
ETH,Ethiopia,Africa,2024,138.4950248,76.56462664,207.5954257,22360.0,8410.0,43400.0,medium,26.78
GHA,Ghana,Africa,2010,366.4042865,299.3956142,442.1780551,16891.0,16200.0,17600.0,very_high,
GHA,Ghana,Africa,2011,375.1405245,307.2953165,453.8617182,17163.0,16500.0,17900.0,very_high,2.38
GHA,Ghana,Africa,2012,367.317594,300.2225168,448.1028749,16573.0,15900.0,17300.0,very_high,-2.09
GHA,Ghana,Africa,2013,344.3307489,280.4884493,420.2636214,15618.0,15000.0,16300.0,very_high,-6.26
GHA,Ghana,Africa,2014,313.806791,250.8492332,387.7960094,14384.0,13800.0,15000.0,very_high,-8.86
GHA,Ghana,Africa,2015,275.9898421,216.12485,347.1758308,13260.0,12700.0,13900.0,high,-12.05
GHA,Ghana,Africa,2016,244.9214645,188.9942577,312.9126842,12293.0,11800.0,12900.0,high,-11.26
GHA,Ghana,Africa,2017,226.1852816,173.1852387,290.2046668,11522.0,11100.0,12100.0,medium,-7.65
GHA,Ghana,Africa,2018,212.7630234,162.3576299,273.6587054,11103.0,10700.0,11600.0,medium,-5.93
GHA,Ghana,Africa,2019,215.2688454,164.4414431,277.9878927,11116.0,10600.0,11700.0,medium,1.18
GHA,Ghana,Africa,2020,219.6265037,168.1247565,282.8304384,11311.0,10700.0,12200.0,medium,2.02
GHA,Ghana,Africa,2021,212.4652104,160.9065186,276.5365199,11373.0,10700.0,12300.0,medium,-3.26
GHA,Ghana,Africa,2022,210.786297,158.5126401,275.3422508,11463.0,10700.0,12500.0,medium,-0.79
GHA,Ghana,Africa,2023,194.918396,144.1574959,257.2898019,11464.0,10800.0,12400.0,medium,-7.53
GHA,Ghana,Africa,2024,195.7696618,135.6087531,274.0383601,11635.0,11000.0,12600.0,medium,0.44
KEN,Kenya,Africa,2010,80.27255074,59.38186066,106.7033206,9664.0,9440.0,9890.0,low,
KEN,Kenya,Africa,2011,82.58194793,61.28061473,109.7169587,10091.0,9850.0,10300.0,low,2.88
KEN,Kenya,Africa,2012,84.2251522,63.2646129,110.1368387,10203.0,9960.0,10500.0,low,1.99
KEN,Kenya,Africa,2013,85.4403037,63.88103041,111.5923269,10297.0,10100.0,10600.0,low,1.44
KEN,Kenya,Africa,2014,84.43082344,62.96974373,111.0858553,10393.0,10200.0,10600.0,low,-1.18
KEN,Kenya,Africa,2015,81.79663555,59.78192649,108.6892935,10423.0,10200.0,10700.0,low,-3.12
KEN,Kenya,Africa,2016,77.26122108,55.28032567,106.2556208,10483.0,10300.0,10700.0,low,-5.54
KEN,Kenya,Africa,2017,76.8492024,55.21773652,104.5301108,10664.0,10400.0,10900.0,low,-0.53
KEN,Kenya,Africa,2018,74.1496418,53.35805148,99.08937145,10789.0,10600.0,11100.0,low,-3.51
KEN,Kenya,Africa,2019,71.67133565,52.87011985,94.18054056,10883.0,10600.0,11200.0,low,-3.34
KEN,Kenya,Africa,2020,84.99876851,63.78514199,110.6056436,11384.0,10800.0,12000.0,low,18.6
KEN,Kenya,Africa,2021,88.68703596,58.33939663,129.8524883,11669.0,11100.0,12400.0,low,4.34
KEN,Kenya,Africa,2022,82.09391795,44.41943831,140.0607249,11811.0,11200.0,12600.0,low,-7.43
KEN,Kenya,Africa,2023,73.77391808,37.32295217,132.8598883,11478.0,11100.0,11900.0,low,-10.13
KEN,Kenya,Africa,2024,74.1683085,37.3067339,131.0189816,11656.0,11300.0,12100.0,low,0.53
MOZ,Mozambique,Africa,2010,377.9403967,310.9315766,455.2480713,23849.0,21900.0,26100.0,very_high,
MOZ,Mozambique,Africa,2011,375.9882167,309.2642232,453.3525897,23455.0,21200.0,26000.0,very_high,-0.52
MOZ,Mozambique,Africa,2012,375.2321795,306.8349639,454.0731717,23302.0,20800.0,26300.0,very_high,-0.2
MOZ,Mozambique,Africa,2013,372.3830775,303.1662485,453.2515114,23764.0,20700.0,27700.0,very_high,-0.76
MOZ,Mozambique,Africa,2014,361.474302,295.9905849,439.5630684,23197.0,19800.0,27800.0,very_high,-2.93
MOZ,Mozambique,Africa,2015,353.6724564,289.1440929,429.6363892,21866.0,18200.0,27000.0,very_high,-2.16
MOZ,Mozambique,Africa,2016,345.2099754,279.345388,422.4710114,20963.0,17100.0,26700.0,very_high,-2.39
MOZ,Mozambique,Africa,2017,333.7416332,266.4037467,411.458819,19817.0,15900.0,25900.0,very_high,-3.32
MOZ,Mozambique,Africa,2018,331.298561,262.7193624,409.1742218,18980.0,14900.0,25500.0,very_high,-0.73
MOZ,Mozambique,Africa,2019,323.9677718,255.761796,404.1198303,18096.0,13800.0,24900.0,very_high,-2.21
MOZ,Mozambique,Africa,2020,320.6527106,251.9078692,402.8207691,22295.0,13900.0,37400.0,very_high,-1.02
MOZ,Mozambique,Africa,2021,312.4499019,248.9057621,390.1358254,21201.0,13400.0,35300.0,very_high,-2.56
MOZ,Mozambique,Africa,2022,304.5014421,244.4148005,374.7066373,21094.0,13100.0,36000.0,very_high,-2.54
MOZ,Mozambique,Africa,2023,303.5024659,241.5333724,374.6244087,17875.0,12400.0,27300.0,very_high,-0.33
MOZ,Mozambique,Africa,2024,295.0966751,223.2721708,377.4653984,17946.0,12500.0,27400.0,very_high,-2.77
MWI,Malawi,Africa,2010,389.8138079,314.8456834,476.9122683,11179.0,10600.0,11900.0,very_high,
MWI,Malawi,Africa,2011,395.2465971,318.7805691,484.1447182,10264.0,9740.0,10800.0,very_high,1.39
MWI,Malawi,Africa,2012,354.9587618,279.9155127,443.3748471,9345.0,8870.0,9870.0,very_high,-10.19
MWI,Malawi,Africa,2013,306.1345523,234.4325792,397.3604821,8372.0,7950.0,8850.0,very_high,-13.75
MWI,Malawi,Africa,2014,275.0492764,205.0661843,359.2903752,7737.0,7300.0,8220.0,high,-10.15
MWI,Malawi,Africa,2015,260.8760238,198.3785602,335.6967425,7341.0,6850.0,7880.0,high,-5.15
MWI,Malawi,Africa,2016,260.9226051,199.7808687,337.0372148,7092.0,6530.0,7740.0,high,0.02
MWI,Malawi,Africa,2017,264.4414837,202.7276013,340.5307207,7024.0,6380.0,7840.0,high,1.35
MWI,Malawi,Africa,2018,270.9531009,195.9733768,363.1691579,6921.0,6220.0,7860.0,high,2.46
MWI,Malawi,Africa,2019,280.2880012,185.0099394,404.4764709,6892.0,6140.0,7960.0,high,3.45
MWI,Malawi,Africa,2020,283.0146401,185.2744067,409.8895115,7423.0,6280.0,9340.0,high,0.97
MWI,Malawi,Africa,2021,280.4884339,193.8231852,395.2495848,7456.0,6310.0,9400.0,high,-0.89
MWI,Malawi,Africa,2022,285.5038484,200.3636734,395.0983345,7525.0,6340.0,9680.0,high,1.79
