country_code,country_name,year,health_expenditure_pct_gdp
ETH,Ethiopia,2023,2.80310345
ETH,Ethiopia,2022,2.85298109
ETH,Ethiopia,2021,3.20779967
ETH,Ethiopia,2020,3.48096275
ETH,Ethiopia,2019,3.24287128
ETH,Ethiopia,2018,3.30371761
ETH,Ethiopia,2017,3.45336914
ETH,Ethiopia,2016,3.60033751
ETH,Ethiopia,2015,3.82316828
ETH,Ethiopia,2014,4.03365517
GHA,Ghana,2023,2.94686937
GHA,Ghana,2022,3.67459154
GHA,Ghana,2021,3.86030865
GHA,Ghana,2020,4.4331708
GHA,Ghana,2019,3.25450468
GHA,Ghana,2018,2.43001175
GHA,Ghana,2017,2.68786979
GHA,Ghana,2016,3.39035821
GHA,Ghana,2015,4.54299259
GHA,Ghana,2014,4.01644135
KEN,Kenya,2023,4.35172892
KEN,Kenya,2022,4.32241869
KEN,Kenya,2021,4.56992722
KEN,Kenya,2020,4.49248886
KEN,Kenya,2019,4.36874676
KEN,Kenya,2018,4.09903383
KEN,Kenya,2017,3.98597503
KEN,Kenya,2016,4.75429106
KEN,Kenya,2015,4.76439571
KEN,Kenya,2014,4.91267347
MOZ,Mozambique,2023,8.50126553
MOZ,Mozambique,2022,8.24868107
MOZ,Mozambique,2021,8.64841366
MOZ,Mozambique,2020,7.55190039
MOZ,Mozambique,2019,7.90207434
MOZ,Mozambique,2018,7.97903347
MOZ,Mozambique,2017,7.80532169
MOZ,Mozambique,2016,7.21501875
MOZ,Mozambique,2015,6.60972881
MOZ,Mozambique,2014,6.24013042
MWI,Malawi,2023,6.53459597
MWI,Malawi,2022,6.62527609
MWI,Malawi,2021,7.5164628
MWI,Malawi,2020,7.03859568
MWI,Malawi,2019,6.37021732
MWI,Malawi,2018,6.88249922
MWI,Malawi,2017,7.58438921
MWI,Malawi,2016,7.72703791
MWI,Malawi,2015,6.62879086
MWI,Malawi,2014,6.89776182
NGA,Nigeria,2023,4.19086456
NGA,Nigeria,2022,4.21020174
NGA,Nigeria,2021,4.07625723
NGA,Nigeria,2020,3.38063431
NGA,Nigeria,2019,2.98547053
NGA,Nigeria,2018,3.09069347
NGA,Nigeria,2017,3.74762511
NGA,Nigeria,2016,3.64773679
NGA,Nigeria,2015,3.58194995
NGA,Nigeria,2014,3.34840417
TZA,Tanzania,2023,3.05201221
TZA,Tanzania,2022,3.13497496
TZA,Tanzania,2021,3.46963334
TZA,Tanzania,2020,3.05028677
TZA,Tanzania,2019,4.02347755
TZA,Tanzania,2018,4.32775831
TZA,Tanzania,2017,4.02325726
TZA,Tanzania,2016,3.96350336
TZA,Tanzania,2015,3.64969945
TZA,Tanzania,2014,4.01492071
UGA,Uganda,2023,4.23600149
UGA,Uganda,2022,4.45071125
UGA,Uganda,2021,5.47374916
UGA,Uganda,2020,5.23865509
UGA,Uganda,2019,3.79341364
UGA,Uganda,2018,4.02153397
UGA,Uganda,2017,3.99852037
UGA,Uganda,2016,5.01553297
UGA,Uganda,2015,4.99643135
UGA,Uganda,2014,5.33653069
ZAF,South Africa,2023,8.90966797
ZAF,South Africa,2022,8.74512291
ZAF,South Africa,2021,8.6645031
ZAF,South Africa,2020,9.02174091
ZAF,South Africa,2019,8.24652863
ZAF,South Africa,2018,8.0819664
ZAF,South Africa,2017,7.97711372
ZAF,South Africa,2016,8.07959366
ZAF,South Africa,2015,8.05304241
ZAF,South Africa,2014,7.87136555
ZMB,Zambia,2023,5.97841072
ZMB,Zambia,2022,5.21042967
ZMB,Zambia,2021,6.63951397
ZMB,Zambia,2020,6.3067441
ZMB,Zambia,2019,6.75330257
ZMB,Zambia,2018,4.76996708
ZMB,Zambia,2017,4.78156233
ZMB,Zambia,2016,4.46923161
ZMB,Zambia,2015,4.42974281
ZMB,Zambia,2014,3.82924223
USA,United States,2023,16.69414902
USA,United States,2022,16.52875137
USA,United States,2021,17.35207748
USA,United States,2020,18.51597404
USA,United States,2019,16.54486084
USA,United States,2018,16.51312637
USA,United States,2017,16.63827515
USA,United States,2016,16.69203949
USA,United States,2015,16.40155411
USA,United States,2014,16.1415844
