country_code,year,deaths_count,low,high,parent_region
UGA,2016,15637.0,14400.0,17100.0,Africa
SLE,2022,8194.0,5720.0,11600.0,Africa
DZA,2014,0.0,,,Africa
MDG,2010,2441.0,940.0,4990.0,Africa
BEN,2013,8439.0,7800.0,9130.0,Africa
SSD,2022,6700.0,3680.0,13400.0,Africa
GNQ,2016,785.0,660.0,960.0,Africa
CAF,2022,5101.0,4010.0,6520.0,Africa
MLI,2021,14352.0,11900.0,17600.0,Africa
TGO,2017,3858.0,3460.0,4310.0,Africa
COG,2015,2018.0,1810.0,2290.0,Africa
NGA,2017,177176.0,150000.0,214000.0,Africa
SLE,2021,8464.0,6010.0,11700.0,Africa
STP,2011,19.0,,,Africa
ZAF,2016,34.0,,,Africa
BDI,2016,5779.0,5020.0,6820.0,Africa
LBR,2021,3902.0,3000.0,5330.0,Africa
RWA,2013,2954.0,2860.0,3060.0,Africa
BFA,2015,21478.0,18100.0,25500.0,Africa
SEN,2015,2587.0,1030.0,4730.0,Africa
ETH,2019,5708.0,2030.0,11200.0,Africa
BFA,2011,36043.0,32500.0,39900.0,Africa
SEN,2019,1720.0,700.0,3130.0,Africa
UGA,2021,17438.0,13900.0,23100.0,Africa
NER,2013,31459.0,28700.0,34600.0,Africa
ZWE,2010,2810.0,1020.0,5610.0,Africa
COD,2016,66971.0,50300.0,89000.0,Africa
MOZ,2019,18096.0,13800.0,24900.0,Africa
COM,2024,139.0,64.0,210.0,Africa
MWI,2022,7525.0,6340.0,9680.0,Africa
COD,2015,60443.0,46800.0,77700.0,Africa
GIN,2010,13854.0,12900.0,14900.0,Africa
CPV,2022,0.0,,,Africa
SWZ,2011,1.0,,,Africa
NER,2011,31339.0,28800.0,34100.0,Africa
ZAF,2019,79.0,,,Africa
RWA,2023,3349.0,3130.0,3780.0,Africa
RWA,2022,3311.0,3090.0,3730.0,Africa
GAB,2012,400.0,360.0,440.0,Africa
NER,2021,34234.0,28900.0,40900.0,Africa
TCD,2014,12692.0,11300.0,14200.0,Africa
MRT,2014,724.0,700.0,750.0,Africa
ETH,2022,10570.0,3820.0,20700.0,Africa
ERI,2020,372.0,150.0,690.0,Africa
MOZ,2014,23197.0,19800.0,27800.0,Africa
ETH,2015,21051.0,4540.0,53300.0,Africa
MWI,2024,7501.0,6480.0,9320.0,Africa
AGO,2011,11524.0,9300.0,14500.0,Africa
BWA,2015,5.0,,,Africa
GNQ,2023,757.0,640.0,970.0,Africa
COM,2022,52.0,24.0,81.0,Africa
DZA,2019,0.0,,,Africa
KEN,2018,10789.0,10600.0,11100.0,Africa
MLI,2020,16288.0,12600.0,21100.0,Africa
CPV,2016,1.0,,,Africa
SWZ,2024,0.0,,,Africa
ETH,2020,9424.0,3430.0,18600.0,Africa
GNB,2010,874.0,800.0,960.0,Africa
SEN,2011,1602.0,660.0,2850.0,Africa
BWA,2020,11.0,,,Africa
COM,2020,11.0,5.0,17.0,Africa
SLE,2014,10635.0,9750.0,11600.0,Africa
GNQ,2021,795.0,660.0,1050.0,Africa
ERI,2024,786.0,320.0,1450.0,Africa
NGA,2015,169052.0,148000.0,196000.0,Africa
MYT,2011,50.0,50.0,50.0,Africa
MWI,2014,7737.0,7300.0,8220.0,Africa
UGA,2019,15947.0,14200.0,18300.0,Africa
LBR,2013,2951.0,2750.0,3190.0,Africa
MLI,2016,17286.0,15500.0,19400.0,Africa
LBR,2018,4482.0,3860.0,5290.0,Africa
COG,2011,1885.0,1770.0,2000.0,Africa
CMR,2012,12071.0,11300.0,12900.0,Africa
CIV,2021,11248.0,9670.0,13100.0,Africa
NGA,2013,163867.0,148000.0,183000.0,Africa
COM,2013,135.0,63.0,210.0,Africa
TCD,2021,13801.0,10700.0,18200.0,Africa
SEN,2016,1751.0,710.0,3200.0,Africa
CPV,2021,0.0,,,Africa
BEN,2017,11265.0,10200.0,12500.0,Africa
SEN,2017,2062.0,840.0,3720.0,Africa
BWA,2010,8.0,,,Africa
NER,2023,35381.0,28500.0,44500.0,Africa
ZWE,2014,2798.0,1180.0,4890.0,Africa
GAB,2020,427.0,370.0,530.0,Africa
NER,2012,29168.0,26700.0,31900.0,Africa
ETH,2012,19915.0,7200.0,44600.0,Africa
MRT,2022,718.0,220.0,1610.0,Africa
GNQ,2018,752.0,640.0,930.0,Africa
CPV,2019,0.0,,,Africa
NAM,2016,65.0,,,Africa
COG,2022,2236.0,1950.0,2820.0,Africa
BEN,2020,10320.0,8690.0,12300.0,Africa
ZMB,2015,8015.0,7610.0,8460.0,Africa
BDI,2019,6477.0,5370.0,8200.0,Africa
ZAF,2021,56.0,,,Africa
BEN,2010,9282.0,8660.0,9970.0,Africa
SSD,2024,6749.0,3720.0,13800.0,Africa
ERI,2014,227.0,91.0,420.0,Africa
COG,2017,2107.0,1860.0,2480.0,Africa
AGO,2019,15253.0,10700.0,22800.0,Africa
SWZ,2020,2.0,,,Africa
ERI,2015,128.0,52.0,240.0,Africa
GHA,2024,11635.0,11000.0,12600.0,Africa
MDG,2018,4884.0,2030.0,8720.0,Africa
ZAF,2018,69.0,,,Africa
GHA,2023,11464.0,10800.0,12400.0,Africa
MDG,2014,3048.0,1270.0,5450.0,Africa
SEN,2013,2031.0,840.0,3600.0,Africa
UGA,2022,17538.0,13900.0,23600.0,Africa
UGA,2024,16204.0,14000.0,19500.0,Africa
ERI,2023,459.0,180.0,850.0,Africa
RWA,2016,3053.0,2930.0,3200.0,Africa
TZA,2013,22043.0,21300.0,22900.0,Africa
ZMB,2021,8734.0,7540.0,10600.0,Africa
BDI,2022,7146.0,5300.0,10400.0,Africa
