country_code,country_name,year,incidence_per_1000,low,high,parent_region
MYT,MYT,2024,0.0,0.0,0.0,Africa
KEN,KEN,2023,73.77391808,37.32295217,132.8598883,Africa
ZAF,ZAF,2021,0.483231603,0.483231603,0.483231603,Africa
TGO,TGO,2011,310.5693739,238.0153638,398.6288172,Africa
CPV,CPV,2014,0.195189334,0.195189334,0.195189334,Africa
ZMB,ZMB,2022,246.10104,199.2134869,300.7417355,Africa
SEN,SEN,2023,34.68756564,24.54720139,49.28468689,Africa
SEN,SEN,2011,48.30951649,34.05249182,64.26115311,Africa
MLI,MLI,2017,376.9845688,266.4253346,535.9864031,Africa
COM,COM,2010,55.7971767,55.7971767,55.7971767,Africa
LBR,LBR,2012,266.1217829,187.4743342,366.9150463,Africa
GMB,GMB,2014,140.3174272,109.5557207,174.6753334,Africa
UGA,UGA,2010,405.9743691,322.4331323,503.8304448,Africa
KEN,KEN,2020,84.99876851,63.78514199,110.6056436,Africa
ERI,ERI,2010,28.34150373,18.04026978,40.02029923,Africa
ZMB,ZMB,2015,237.7809668,190.2345423,294.0828767,Africa
GMB,GMB,2019,44.76271184,34.90532976,55.90019147,Africa
SWZ,SWZ,2010,0.861010981,0.861010981,0.861010981,Africa
NAM,NAM,2020,9.324759436,7.389780669,11.43889713,Africa
NAM,NAM,2022,7.378135206,5.842604142,9.029659467,Africa
BEN,BEN,2023,361.2623993,243.4060998,516.3945941,Africa
COM,COM,2017,5.148882801,5.148882801,5.148882801,Africa
LBR,LBR,2016,348.7015751,284.6037142,422.0558602,Africa
GAB,GAB,2012,200.1538804,103.0021566,351.553748,Africa
MOZ,MOZ,2023,303.5024659,241.5333724,374.6244087,Africa
CPV,CPV,2016,0.367691199,0.367691199,0.367691199,Africa
GNB,GNB,2019,87.10491865,30.84605041,199.0040255,Africa
BFA,BFA,2017,356.5617211,246.601565,502.8610001,Africa
MYT,MYT,2017,0.154278662,0.154278662,0.154278662,Africa
TZA,TZA,2018,111.4820751,82.43315684,148.037103,Africa
GAB,GAB,2019,190.7161646,142.1647437,251.4781685,Africa
GIN,GIN,2010,415.7379999,334.45243,513.7436411,Africa
ERI,ERI,2021,27.74117115,17.83931654,38.42317718,Africa
ERI,ERI,2022,40.89284861,26.26540316,56.84008286,Africa
GAB,GAB,2022,188.6839725,127.7761116,269.2504403,Africa
STP,STP,2019,11.46715903,11.46715903,11.46715903,Africa
BDI,BDI,2024,314.8994439,188.0255526,497.3526006,Africa
CMR,CMR,2013,271.0968165,190.2299025,371.7780073,Africa
ZMB,ZMB,2019,223.8523842,175.5007902,279.8617051,Africa
RWA,RWA,2016,410.0814628,301.6446975,523.2871498,Africa
COD,COD,2012,335.7967412,264.6808564,419.6588975,Africa
KEN,KEN,2024,74.1683085,37.3067339,131.0189816,Africa
BFA,BFA,2020,378.1741521,250.2334209,545.5951571,Africa
MRT,MRT,2020,64.10621784,21.39959166,131.7292323,Africa
STP,STP,2021,12.24989976,12.24989976,12.24989976,Africa
