country,iso3,year,container_throughput_teu
Angola,AGO,2015,814965.0
Angola,AGO,2016,572298.0
Angola,AGO,2017,735431.0
Angola,AGO,2018,618238.0
Angola,AGO,2019,700123.0
Angola,AGO,2020,590128.0
Angola,AGO,2021,628348.0
Angola,AGO,2022,678333.0
Angola,AGO,2023,662054.0
Angola,AGO,2024,709221.0
Cote d'Ivoire,CIV,2015,927379.0
Cote d'Ivoire,CIV,2016,885750.0
Cote d'Ivoire,CIV,2017,907646.0
Cote d'Ivoire,CIV,2018,924596.0
Cote d'Ivoire,CIV,2019,994646.0
Cote d'Ivoire,CIV,2020,979517.0
Cote d'Ivoire,CIV,2021,1042418.0
Cote d'Ivoire,CIV,2022,1083605.0
Cote d'Ivoire,CIV,2023,1476195.0
Cote d'Ivoire,CIV,2024,1802000.0
Cameroon,CMR,2015,379915.0
Cameroon,CMR,2016,370000.0
Cameroon,CMR,2017,386367.0
Cameroon,CMR,2018,378758.0
Cameroon,CMR,2019,370493.0
Cameroon,CMR,2020,421854.0
Cameroon,CMR,2021,360512.0
Cameroon,CMR,2022,338412.0
Cameroon,CMR,2023,348470.0
Cameroon,CMR,2024,350000.0
Algeria,DZA,2015,1694426.0
Algeria,DZA,2016,1831056.0
Algeria,DZA,2017,1725198.0
Algeria,DZA,2018,1844422.0
Algeria,DZA,2019,1793990.0
Algeria,DZA,2020,1541273.0
Algeria,DZA,2022,1530969.0
Algeria,DZA,2023,1545930.0
Algeria,DZA,2024,1827788.0
"Egypt, Arab Rep.",EGY,2015,6490063.0
"Egypt, Arab Rep.",EGY,2016,5887541.0
"Egypt, Arab Rep.",EGY,2017,6337413.0
"Egypt, Arab Rep.",EGY,2018,6701763.0
"Egypt, Arab Rep.",EGY,2019,7403472.0
"Egypt, Arab Rep.",EGY,2020,7564385.0
"Egypt, Arab Rep.",EGY,2021,7226065.0
"Egypt, Arab Rep.",EGY,2022,7646643.0
"Egypt, Arab Rep.",EGY,2023,8360875.0
"Egypt, Arab Rep.",EGY,2024,8581339.0
Ghana,GHA,2015,840595.0
Ghana,GHA,2016,942463.0
Ghana,GHA,2017,1009755.0
Ghana,GHA,2018,1056785.0
Ghana,GHA,2019,1079247.0
Ghana,GHA,2020,1324504.0
Ghana,GHA,2021,1604724.0
Ghana,GHA,2022,1244245.0
Ghana,GHA,2023,1226635.0
Ghana,GHA,2024,1701246.0
Kenya,KEN,2015,1076118.0
Kenya,KEN,2016,1091000.0
Kenya,KEN,2017,1190000.0
Kenya,KEN,2018,1306283.0
Kenya,KEN,2019,1417000.0
Kenya,KEN,2020,1359579.0
Kenya,KEN,2021,1435565.0
Kenya,KEN,2022,1430000.0
Kenya,KEN,2023,1623080.0
Kenya,KEN,2024,2005076.0
Libya,LBY,2016,124050.0
Libya,LBY,2017,105636.0
Libya,LBY,2019,265098.0
Libya,LBY,2020,343599.0
Libya,LBY,2021,422100.0
Libya,LBY,2022,428760.0
Libya,LBY,2023,465168.0
Morocco,MAR,2015,3987251.0
Morocco,MAR,2016,4106683.0
Morocco,MAR,2017,4509580.0
Morocco,MAR,2018,4715747.0
Morocco,MAR,2019,6068803.0
Morocco,MAR,2020,7000928.0
Morocco,MAR,2021,8448850.0
Morocco,MAR,2022,8840340.0
Morocco,MAR,2023,9964417.0
Morocco,MAR,2024,11789130.0
Madagascar,MDG,2015,138500.0
Madagascar,MDG,2016,138850.0
Madagascar,MDG,2017,220000.0
Madagascar,MDG,2018,179425.0
Madagascar,MDG,2019,199712.5
Mozambique,MOZ,2015,335200.0
Mozambique,MOZ,2018,372218.0
Mozambique,MOZ,2019,411938.0
Mozambique,MOZ,2020,417459.0
Mozambique,MOZ,2021,440582.0
Mozambique,MOZ,2022,420500.0
Mozambique,MOZ,2023,489000.0
Nigeria,NGA,2015,1544183.0
Nigeria,NGA,2016,1272000.0
Nigeria,NGA,2017,1408000.0
Nigeria,NGA,2018,1560000.0
Nigeria,NGA,2019,1627142.0
Nigeria,NGA,2020,1548622.0
Nigeria,NGA,2021,1566109.0
Nigeria,NGA,2022,1566109.0
Nigeria,NGA,2023,1566109.0
Senegal,SEN,2015,529724.0
Senegal,SEN,2016,540000.0
Senegal,SEN,2017,570500.0
Senegal,SEN,2018,674000.0
Senegal,SEN,2019,695698.0
Senegal,SEN,2020,696899.0
