country,iso3,year,exports_usd
Angola,AGO,2016,14765476550.511
Angola,AGO,2017,21480034960.3071
Angola,AGO,2018,32444713522.9617
Angola,AGO,2019,30001180996.3226
Angola,AGO,2020,18583150428.118
Angola,AGO,2021,31385829560.7359
Angola,AGO,2022,46181518625.9944
Angola,AGO,2023,34643370052.2038
Angola,AGO,2024,31830777324.7249
Angola,AGO,2025,28073040732.7773
Cote d'Ivoire,CIV,2016,12073797174.534
Cote d'Ivoire,CIV,2017,13390010535.4842
Cote d'Ivoire,CIV,2018,13281208105.2104
Cote d'Ivoire,CIV,2019,13683059068.9034
Cote d'Ivoire,CIV,2020,13231732415.0367
Cote d'Ivoire,CIV,2021,16230487159.2541
Cote d'Ivoire,CIV,2022,17211097451.1321
Cote d'Ivoire,CIV,2023,18123337011.1187
Cote d'Ivoire,CIV,2024,22673827945.9702
Cote d'Ivoire,CIV,2025,29717948364.1736
Cameroon,CMR,2016,6407809686.3797
Cameroon,CMR,2017,6624479953.0876
Cameroon,CMR,2018,7486173533.2258
Cameroon,CMR,2019,7874085866.66636
Cameroon,CMR,2020,6212103784.55953
Cameroon,CMR,2021,7430968539.29677
Cameroon,CMR,2022,8568684369.04679
Cameroon,CMR,2023,8226588945.45928
Cameroon,CMR,2024,8353326094.39976
Cameroon,CMR,2025,7713888549.30439
Algeria,DZA,2016,33417246978.2851
Algeria,DZA,2017,38609773040.5942
Algeria,DZA,2018,45570702426.4208
Algeria,DZA,2019,39481135535.1468
Algeria,DZA,2020,25613416650.3651
Algeria,DZA,2021,43660727771.3446
Algeria,DZA,2022,69460098852.0897
Algeria,DZA,2023,58981242697.4026
Algeria,DZA,2024,53466882956.8478
Algeria,DZA,2025,48321061532.7539
"Egypt, Arab Rep.",EGY,2016,34392638036.8098
"Egypt, Arab Rep.",EGY,2017,37289402173.913
"Egypt, Arab Rep.",EGY,2018,47225661226.7867
"Egypt, Arab Rep.",EGY,2019,53041002277.9043
"Egypt, Arab Rep.",EGY,2020,47872738615.0967
"Egypt, Arab Rep.",EGY,2021,44850223072.0204
"Egypt, Arab Rep.",EGY,2022,71927051671.7325
"Egypt, Arab Rep.",EGY,2023,75645996851.8977
"Egypt, Arab Rep.",EGY,2024,63713393301.1736
"Egypt, Arab Rep.",EGY,2025,72393571621.6233
Ethiopia,ETH,2016,5349377912.66376
Ethiopia,ETH,2017,5826254533.33333
Ethiopia,ETH,2018,6977614238.63636
Ethiopia,ETH,2019,7291628539.93174
Ethiopia,ETH,2020,7032893577.0121
Ethiopia,ETH,2021,8323978508.07578
Ethiopia,ETH,2022,10151637925.551
Ethiopia,ETH,2023,8962144165.66712
Ethiopia,ETH,2024,8294520632.75419
Ethiopia,ETH,2025,16785187367.6025
Ghana,GHA,2016,17513188147.4573
Ghana,GHA,2017,20456689539.6174
Ghana,GHA,2018,22501546548.8178
Ghana,GHA,2019,25597786148.2046
Ghana,GHA,2020,22070393252.1853
Ghana,GHA,2021,23898089227.0418
Ghana,GHA,2022,25623315466.9184
Ghana,GHA,2023,25590486225.4334
Ghana,GHA,2024,29197465998.8647
Kenya,KEN,2016,9912815673.9736
Kenya,KEN,2017,10448711418.2037
Kenya,KEN,2018,11564075006.3765
Kenya,KEN,2019,11471243360.3894
Kenya,KEN,2020,11516270712.1545
Kenya,KEN,2021,14381862480.2642
Kenya,KEN,2022,18262655904.9193
Kenya,KEN,2023,17966992982.8146
Kenya,KEN,2024,20292950694.2844
Kenya,KEN,2025,21429875346.9498
Libya,LBY,2016,7276125978.06769
Libya,LBY,2017,18264984000.8035
Libya,LBY,2018,30378023791.0514
Libya,LBY,2019,29332965257.6089
Libya,LBY,2020,9541308319.41711
Libya,LBY,2021,32419787680.6016
Libya,LBY,2022,39778344211.4613
Libya,LBY,2023,37688122856.9238
Libya,LBY,2024,34779502869.0818
Libya,LBY,2025,34493399341.6137
Morocco,MAR,2016,34291493550.4303
Morocco,MAR,2017,38651885813.4308
Morocco,MAR,2018,43077520359.3568
Morocco,MAR,2019,43952860516.0238
Morocco,MAR,2020,37369771251.448
Morocco,MAR,2021,47060549921.4328
Morocco,MAR,2022,58681916332.2068
Morocco,MAR,2023,61945010973.2121
Morocco,MAR,2024,67454245753.4821
Morocco,MAR,2025,76541039367.7208
Madagascar,MDG,2016,3447066213.68097
Madagascar,MDG,2017,4071827552.94261
Madagascar,MDG,2018,4339367350.69394
Madagascar,MDG,2019,4009166482.22619
Madagascar,MDG,2020,2628831060.657
Madagascar,MDG,2021,3314741894.16389
Madagascar,MDG,2022,4680944198.87187
Madagascar,MDG,2023,4285471210.35863
Madagascar,MDG,2024,4223672838.17646
Madagascar,MDG,2025,4185661511.34711
Mozambique,MOZ,2016,4270264152.95059
Mozambique,MOZ,2017,5444267918.05269
Mozambique,MOZ,2018,6837559087.08865
Mozambique,MOZ,2019,5761757708.23501
Mozambique,MOZ,2020,4667776262.86619
Mozambique,MOZ,2021,6523890986.02307
Mozambique,MOZ,2022,9409084985.62579
Mozambique,MOZ,2023,9543000054.48782
Mozambique,MOZ,2024,9743034216.41499
Mozambique,MOZ,2025,9243792672.4646
Senegal,SEN,2016,4105254723.24457
Senegal,SEN,2017,4604563711.6937
Senegal,SEN,2018,5305072986.89084
Senegal,SEN,2019,5847051726.26615
Senegal,SEN,2020,5077951817.12245
Senegal,SEN,2021,6781011708.68501
Senegal,SEN,2022,7417917497.04587
Senegal,SEN,2023,7092836396.8035
Senegal,SEN,2024,8197606373.40137
Senegal,SEN,2025,12022634773.9314
Tunisia,TUN,2016,16987820950.6092
Tunisia,TUN,2017,17590956528.9273
Tunisia,TUN,2018,19416275921.684
Tunisia,TUN,2019,19255781270.1806
Tunisia,TUN,2020,16143392839.7452
Tunisia,TUN,2021,19667292546.3067
Tunisia,TUN,2022,23060703698.9303
Tunisia,TUN,2023,25567813964.9285
Tunisia,TUN,2024,25706930119.5514
Tunisia,TUN,2025,26826069545.4849
Tanzania,TZA,2016,8138103520.92867
Tanzania,TZA,2017,8344707045.48532
Tanzania,TZA,2018,8401858982.5961
Tanzania,TZA,2019,9786702081.68473
Tanzania,TZA,2020,8921839002.43059
Tanzania,TZA,2021,9976590469.46969
Tanzania,TZA,2022,11675750363.0616
Tanzania,TZA,2023,13589709118.2193
Tanzania,TZA,2024,15635226302.0557
Tanzania,TZA,2025,17113455948.0633
United States,USA,2016,2235558000000.0
United States,USA,2017,2388260000000.0
United States,USA,2018,2538089000000.0
United States,USA,2019,2539391000000.0
United States,USA,2020,2163837000000.0
United States,USA,2021,2568697000000.0
United States,USA,2022,3036430000000.0
United States,USA,2023,3073360000000.0
United States,USA,2024,3215368000000.0
South Africa,ZAF,2016,91109021408.9525
South Africa,ZAF,2017,104288394992.827
South Africa,ZAF,2018,111434691806.498
South Africa,ZAF,2019,105906059178.622
South Africa,ZAF,2020,93199600859.2205
South Africa,ZAF,2021,131000485997.462
South Africa,ZAF,2022,136705431596.872
South Africa,ZAF,2023,126843584296.229
South Africa,ZAF,2024,127531645077.343
South Africa,ZAF,2025,134179428667.706
