country,iso3,year,liner_shipping_index
Angola,AGO,2014,22.3164471107
Angola,AGO,2015,20.7492970884
Angola,AGO,2016,26.6666499601
Angola,AGO,2017,25.08878115
Angola,AGO,2018,23.4332774455
Angola,AGO,2019,30.4678320108
Angola,AGO,2020,23.6039730155
Angola,AGO,2021,23.3879860863
Cote d'Ivoire,CIV,2014,22.4579503436
Cote d'Ivoire,CIV,2015,21.5692586524
Cote d'Ivoire,CIV,2016,20.6383670749
Cote d'Ivoire,CIV,2017,18.9750549279
Cote d'Ivoire,CIV,2018,19.605379262
Cote d'Ivoire,CIV,2019,19.9702011986
Cote d'Ivoire,CIV,2020,19.9814975669
Cote d'Ivoire,CIV,2021,19.2845020632
Cameroon,CMR,2014,16.7541583881
Cameroon,CMR,2015,13.5363213846
Cameroon,CMR,2016,16.780951793
Cameroon,CMR,2017,15.3811266707
Cameroon,CMR,2018,24.4495545809
Cameroon,CMR,2019,15.4146205335
Cameroon,CMR,2020,18.9457722405
Cameroon,CMR,2021,18.5331935606
Algeria,DZA,2014,11.4142105199
Algeria,DZA,2015,13.1093862431
Algeria,DZA,2016,13.4557875276
Algeria,DZA,2017,12.277666841
Algeria,DZA,2018,12.0946660784
Algeria,DZA,2019,12.6028856061
Algeria,DZA,2020,12.8425180087
Algeria,DZA,2021,12.2292992498
"Egypt, Arab Rep.",EGY,2014,55.6266693031
"Egypt, Arab Rep.",EGY,2015,55.5437539198
"Egypt, Arab Rep.",EGY,2016,56.0794476654
"Egypt, Arab Rep.",EGY,2017,56.928303866
"Egypt, Arab Rep.",EGY,2018,55.2072911093
"Egypt, Arab Rep.",EGY,2019,61.1718524244
"Egypt, Arab Rep.",EGY,2020,68.5087319001
"Egypt, Arab Rep.",EGY,2021,66.6745889083
Ghana,GHA,2014,21.714283643
Ghana,GHA,2015,22.7546413984
Ghana,GHA,2016,20.6238379517
Ghana,GHA,2017,19.5846188798
Ghana,GHA,2018,20.084039529
Ghana,GHA,2019,36.6509751579
Ghana,GHA,2020,39.9862068986
Ghana,GHA,2021,37.1852140752
Kenya,KEN,2014,15.2884374201
Kenya,KEN,2015,18.7720165257
Kenya,KEN,2016,15.5326793267
Kenya,KEN,2017,15.9432625966
Kenya,KEN,2018,17.3444249121
Kenya,KEN,2019,17.3822270863
Kenya,KEN,2020,16.7250428433
Kenya,KEN,2021,16.4831343637
Libya,LBY,2014,17.1036564917
Libya,LBY,2015,13.3842010848
Libya,LBY,2016,9.0313953229
Libya,LBY,2017,13.3524254804
Libya,LBY,2018,13.0907833848
Libya,LBY,2019,12.9710479053
Libya,LBY,2020,12.4010752455
Libya,LBY,2021,12.3715284858
Morocco,MAR,2014,57.8327386808
Morocco,MAR,2015,58.2901760135
Morocco,MAR,2016,61.1905494817
Morocco,MAR,2017,66.3883495341
Morocco,MAR,2018,62.5369528895
Morocco,MAR,2019,62.0447837254
Morocco,MAR,2020,68.0522500059
Morocco,MAR,2021,69.3039477287
Madagascar,MDG,2014,12.196936528
Madagascar,MDG,2015,10.0492020036
Madagascar,MDG,2016,9.5579909948
Madagascar,MDG,2017,9.3070569706
Madagascar,MDG,2018,9.3219924399
Madagascar,MDG,2019,8.4532097783
Madagascar,MDG,2020,7.765154056
Madagascar,MDG,2021,7.4851032045
Mozambique,MOZ,2014,13.3641654336
Mozambique,MOZ,2015,11.609112324
Mozambique,MOZ,2016,11.4523192496
Mozambique,MOZ,2017,10.8702151016
Mozambique,MOZ,2018,11.3208663435
Mozambique,MOZ,2019,12.0822481088
Mozambique,MOZ,2020,14.5453869944
Mozambique,MOZ,2021,14.1337350129
Nigeria,NGA,2014,22.5798111768
Nigeria,NGA,2015,23.6589031674
Nigeria,NGA,2016,23.0003181718
Nigeria,NGA,2017,21.2323584328
Nigeria,NGA,2018,21.2874108943
Nigeria,NGA,2019,21.5339669626
Nigeria,NGA,2020,21.2509510936
Nigeria,NGA,2021,20.7664411287
Senegal,SEN,2014,14.0182795776
Senegal,SEN,2015,16.6148453051
Senegal,SEN,2016,16.67368058
Senegal,SEN,2017,18.6591155682
Senegal,SEN,2018,17.0942938673
Senegal,SEN,2019,16.8825451148
Senegal,SEN,2020,17.0321028723
Senegal,SEN,2021,17.5368934006
Tunisia,TUN,2014,7.5872356645
Tunisia,TUN,2015,8.1582243122
Tunisia,TUN,2016,7.550631019
Tunisia,TUN,2017,7.6696157466
Tunisia,TUN,2018,7.4756725652
Tunisia,TUN,2019,7.1847949964
Tunisia,TUN,2020,6.1457124177
Tunisia,TUN,2021,5.6244635779
Tanzania,TZA,2014,13.8426477693
Tanzania,TZA,2015,18.1086815554
Tanzania,TZA,2016,15.4285168573
Tanzania,TZA,2017,14.7162272078
Tanzania,TZA,2018,16.9878829883
Tanzania,TZA,2019,16.0268081861
Tanzania,TZA,2020,15.6559319296
Tanzania,TZA,2021,15.8095346846
United States,USA,2014,85.5823390349
United States,USA,2015,87.1968295944
United States,USA,2016,82.0461664838
United States,USA,2017,85.6698777328
United States,USA,2018,92.0496648498
United States,USA,2019,95.6156319109
United States,USA,2020,103.852253372
United States,USA,2021,102.6129324202
South Africa,ZAF,2014,38.4086542533
South Africa,ZAF,2015,35.2652857021
South Africa,ZAF,2016,39.632563945
South Africa,ZAF,2017,39.9638535497
South Africa,ZAF,2018,38.4084460113
South Africa,ZAF,2019,39.8671202607
South Africa,ZAF,2020,41.2569498275
South Africa,ZAF,2021,39.0636958837
