country,iso3,year,lpi_score
Angola,AGO,2012,2.28
Angola,AGO,2014,2.54298
Angola,AGO,2016,2.241183
Angola,AGO,2018,2.05
Angola,AGO,2022,2.1
Cote d'Ivoire,CIV,2012,2.73
Cote d'Ivoire,CIV,2014,2.761981
Cote d'Ivoire,CIV,2016,2.602573
Cote d'Ivoire,CIV,2018,3.08
Cameroon,CMR,2012,2.53
Cameroon,CMR,2014,2.296616
Cameroon,CMR,2016,2.151499
Cameroon,CMR,2018,2.6
Cameroon,CMR,2022,2.1
Algeria,DZA,2012,2.41
Algeria,DZA,2014,2.649451
Algeria,DZA,2016,2.769683
Algeria,DZA,2018,2.45
Algeria,DZA,2022,2.5
"Egypt, Arab Rep.",EGY,2012,2.98
"Egypt, Arab Rep.",EGY,2014,2.965911
"Egypt, Arab Rep.",EGY,2016,3.184964
"Egypt, Arab Rep.",EGY,2018,2.82
"Egypt, Arab Rep.",EGY,2022,3.1
Ethiopia,ETH,2012,2.24
Ethiopia,ETH,2014,2.593625
Ethiopia,ETH,2016,2.376767
Ghana,GHA,2012,2.51
Ghana,GHA,2014,2.626934
Ghana,GHA,2016,2.660931
Ghana,GHA,2018,2.57
Ghana,GHA,2022,2.5
Kenya,KEN,2012,2.43
Kenya,KEN,2014,2.812079
Kenya,KEN,2016,3.331295
Kenya,KEN,2018,2.81
Libya,LBY,2012,2.28
Libya,LBY,2014,2.496979
Libya,LBY,2016,2.264495
Libya,LBY,2018,2.11
Libya,LBY,2022,1.9
Morocco,MAR,2012,3.03
Morocco,MAR,2016,2.665994
Morocco,MAR,2018,2.54
Madagascar,MDG,2012,2.72
Madagascar,MDG,2014,2.382349
Madagascar,MDG,2016,2.154639
Madagascar,MDG,2018,2.39
Madagascar,MDG,2022,2.3
Mozambique,MOZ,2014,2.228925
Mozambique,MOZ,2016,2.684105
Nigeria,NGA,2012,2.45
Nigeria,NGA,2014,2.808778
Nigeria,NGA,2016,2.62809
Nigeria,NGA,2018,2.53
Nigeria,NGA,2022,2.6
Senegal,SEN,2012,2.49
Senegal,SEN,2014,2.62217
Senegal,SEN,2016,2.327711
Senegal,SEN,2018,2.25
Tunisia,TUN,2012,3.17
Tunisia,TUN,2014,2.550996
Tunisia,TUN,2016,2.496688
Tunisia,TUN,2018,2.57
Tanzania,TZA,2012,2.65
Tanzania,TZA,2014,2.330834
Tanzania,TZA,2016,2.990185
United States,USA,2012,3.93
United States,USA,2014,3.917825
United States,USA,2016,3.992172
United States,USA,2018,3.89
United States,USA,2022,3.8
South Africa,ZAF,2012,3.67
South Africa,ZAF,2014,3.431244
South Africa,ZAF,2016,3.775321
South Africa,ZAF,2018,3.38
South Africa,ZAF,2022,3.7
