country,iso3,year,liner_shipping_index,container_throughput_teu,merchandise_trade_pct_gdp,lpi_score,exports_usd,region,sub_region,shipping_trade_ratio,port_efficiency_score
Angola,AGO,2012,,,,2.28,,Africa,Central Africa,,
Angola,AGO,2014,22.3164471107,,,2.54298,,Africa,Central Africa,,
Angola,AGO,2015,20.7492970884,814965.0,,,,Africa,Central Africa,,
Angola,AGO,2016,26.6666499601,572298.0,66.8569470798393,2.241183,14765476550.511,Africa,Central Africa,0.39886131695865784,255355.3190435587
Angola,AGO,2017,25.08878115,735431.0,57.3119584481415,,21480034960.3071,Africa,Central Africa,0.4377582241008477,
Angola,AGO,2018,23.4332774455,618238.0,62.4886320616714,2.05,32444713522.9617,Africa,Central Africa,0.37500064687562984,301579.51219512196
Angola,AGO,2019,30.4678320108,700123.0,60.8346839289744,,30001180996.3226,Africa,Central Africa,0.5008299549377415,
Angola,AGO,2020,23.6039730155,590128.0,53.7889352887738,,18583150428.118,Africa,Central Africa,0.438825808482332,
Angola,AGO,2021,23.3879860863,628348.0,58.5701353794977,,31385829560.7359,Africa,Central Africa,0.3993158959725897,
Angola,AGO,2022,,678333.0,53.8687258501231,2.1,46181518625.9944,Africa,Central Africa,,323015.71428571426
Angola,AGO,2023,,662054.0,52.0565606337912,,34643370052.2038,Africa,Central Africa,,
Angola,AGO,2024,,709221.0,51.60624984055,,31830777324.7249,Africa,Central Africa,,
Angola,AGO,2025,,,38.8434974026826,,28073040732.7773,Africa,Central Africa,,
Cote d'Ivoire,CIV,2012,,,,2.73,,Africa,West Africa,,
Cote d'Ivoire,CIV,2014,22.4579503436,,,2.761981,,Africa,West Africa,,
Cote d'Ivoire,CIV,2015,21.5692586524,927379.0,,,,Africa,West Africa,,
Cote d'Ivoire,CIV,2016,20.6383670749,885750.0,40.1939680399576,2.602573,12073797174.534,Africa,West Africa,0.5134692612180762,340336.2749094838
Cote d'Ivoire,CIV,2017,18.9750549279,907646.0,40.8799119714655,,13390010535.4842,Africa,West Africa,0.46416574823215706,
Cote d'Ivoire,CIV,2018,19.605379262,924596.0,39.0995064894614,3.08,13281208105.2104,Africa,West Africa,0.5014226782449107,300193.5064935065
Cote d'Ivoire,CIV,2019,19.9702011986,994646.0,38.4231331013285,,13683059068.9034,Africa,West Africa,0.5197442162234688,
Cote d'Ivoire,CIV,2020,19.9814975669,979517.0,36.4616577863551,,13231732415.0367,Africa,West Africa,0.5480139626119138,
Cote d'Ivoire,CIV,2021,19.2845020632,1042418.0,40.2502180749312,,16230487159.2541,Africa,West Africa,0.4791154678292502,
Cote d'Ivoire,CIV,2022,,1083605.0,48.38780757823,,17211097451.1321,Africa,West Africa,,
Cote d'Ivoire,CIV,2023,,1476195.0,46.0409211318117,,18123337011.1187,Africa,West Africa,,
Cote d'Ivoire,CIV,2024,,1802000.0,43.3550931889167,,22673827945.9702,Africa,West Africa,,
Cote d'Ivoire,CIV,2025,,,47.8543634946102,,29717948364.1736,Africa,West Africa,,
Cameroon,CMR,2012,,,,2.53,,Africa,Central Africa,,
Cameroon,CMR,2014,16.7541583881,,,2.296616,,Africa,Central Africa,,
Cameroon,CMR,2015,13.5363213846,379915.0,,,,Africa,Central Africa,,
Cameroon,CMR,2016,16.780951793,370000.0,25.1697970267184,2.151499,6407809686.3797,Africa,Central Africa,0.6667098576594233,171973.1219954088
Cameroon,CMR,2017,15.3811266707,386367.0,22.2418924302504,,6624479953.0876,Africa,Central Africa,0.6915385783352087,
Cameroon,CMR,2018,24.4495545809,378758.0,23.6738062211437,2.6,7486173533.2258,Africa,Central Africa,1.0327682144776305,145676.15384615384
Cameroon,CMR,2019,15.4146205335,370493.0,26.8908571213348,,7874085866.66636,Africa,Central Africa,0.5732290519393773,
Cameroon,CMR,2020,18.9457722405,421854.0,21.2222520216774,,6212103784.55953,Africa,Central Africa,0.8927314698340167,
Cameroon,CMR,2021,18.5331935606,360512.0,25.1000082776787,,7430968539.29677,Africa,Central Africa,0.7383740019353487,
Cameroon,CMR,2022,,338412.0,30.3468948595835,2.1,8568684369.04679,Africa,Central Africa,,161148.57142857142
Cameroon,CMR,2023,,348470.0,26.9551046981702,,8226588945.45928,Africa,Central Africa,,
Cameroon,CMR,2024,,350000.0,25.5344166717683,,8353326094.39976,Africa,Central Africa,,
Cameroon,CMR,2025,,,24.6040220530055,,7713888549.30439,Africa,Central Africa,,
Algeria,DZA,2012,,,,2.41,,Africa,North Africa,,
Algeria,DZA,2014,11.4142105199,,,2.649451,,Africa,North Africa,,
Algeria,DZA,2015,13.1093862431,1694426.0,,,,Africa,North Africa,,
Algeria,DZA,2016,13.4557875276,1831056.0,42.6606340094642,2.769683,33417246978.2851,Africa,North Africa,0.315414616777961,661106.7042690445
Algeria,DZA,2017,12.277666841,1725198.0,42.7899811540678,,38609773040.5942,Africa,North Africa,0.2869285405103019,
Algeria,DZA,2018,12.0946660784,1844422.0,45.2968229485962,2.45,45570702426.4208,Africa,North Africa,0.26700914746549187,752825.3061224489
Algeria,DZA,2019,12.6028856061,1793990.0,41.3233431383382,,39481135535.1468,Africa,North Africa,0.3049822364059293,
Algeria,DZA,2020,12.8425180087,1541273.0,34.8625033857803,,25613416650.3651,Africa,North Africa,0.3683762427094722,
Algeria,DZA,2021,12.2292992498,,40.8647948623329,,43660727771.3446,Africa,North Africa,0.29926246518546334,
Algeria,DZA,2022,,1530969.0,46.3614848352994,2.5,69460098852.0897,Africa,North Africa,,612387.6
Algeria,DZA,2023,,1545930.0,39.6883902981106,,58981242697.4026,Africa,North Africa,,
Algeria,DZA,2024,,1827788.0,35.0516858153989,,53466882956.8478,Africa,North Africa,,
Algeria,DZA,2025,,,33.2716413245159,,48321061532.7539,Africa,North Africa,,
"Egypt, Arab Rep.",EGY,2012,,,,2.98,,Africa,North Africa,,
"Egypt, Arab Rep.",EGY,2014,55.6266693031,,,2.965911,,Africa,North Africa,,
"Egypt, Arab Rep.",EGY,2015,55.5437539198,6490063.0,,,,Africa,North Africa,,
"Egypt, Arab Rep.",EGY,2016,56.0794476654,5887541.0,24.4424798848454,3.184964,34392638036.8098,Africa,North Africa,2.2943436152798005,1848542.4011072025
"Egypt, Arab Rep.",EGY,2017,56.928303866,6337413.0,35.122413632758,,37289402173.913,Africa,North Africa,1.6208539783525604,
"Egypt, Arab Rep.",EGY,2018,55.2072911093,6701763.0,37.9391899189919,2.82,47225661226.7867,Africa,North Africa,1.4551520796089508,2376511.7021276597
"Egypt, Arab Rep.",EGY,2019,61.1718524244,7403472.0,31.3767326661901,,53041002277.9043,Africa,North Africa,1.9495928105451061,
"Egypt, Arab Rep.",EGY,2020,68.5087319001,7564385.0,22.8144683548419,,47872738615.0967,Africa,North Africa,3.002863395042052,
"Egypt, Arab Rep.",EGY,2021,66.6745889083,7226065.0,27.2822470021461,,44850223072.0204,Africa,North Africa,2.4438818731849756,
"Egypt, Arab Rep.",EGY,2022,,7646643.0,30.8234300286898,3.1,71927051671.7325,Africa,North Africa,,2466659.0322580645
