country,iso3,year,container_throughput_teu
Angola,AGO,2024,709221
Angola,AGO,2023,662054
Angola,AGO,2022,678333
Angola,AGO,2021,628348
Angola,AGO,2020,590128
Angola,AGO,2019,700123
Angola,AGO,2018,618238
Angola,AGO,2017,735431
Angola,AGO,2016,572298
Angola,AGO,2015,814965
Cote d'Ivoire,CIV,2024,1802000
Cote d'Ivoire,CIV,2023,1476195
Cote d'Ivoire,CIV,2022,1083605
Cote d'Ivoire,CIV,2021,1042418
Cote d'Ivoire,CIV,2020,979517
Cote d'Ivoire,CIV,2019,994646
Cote d'Ivoire,CIV,2018,924596
Cote d'Ivoire,CIV,2017,907646
Cote d'Ivoire,CIV,2016,885750
Cote d'Ivoire,CIV,2015,927379
Cameroon,CMR,2024,350000
Cameroon,CMR,2023,348470
Cameroon,CMR,2022,338412
Cameroon,CMR,2021,360512
Cameroon,CMR,2020,421854
Cameroon,CMR,2019,370493
Cameroon,CMR,2018,378758
Cameroon,CMR,2017,386367
Cameroon,CMR,2016,370000
Cameroon,CMR,2015,379915
Algeria,DZA,2024,1827788
Algeria,DZA,2023,1545930
Algeria,DZA,2022,1530969
Algeria,DZA,2020,1541273
Algeria,DZA,2019,1793990
Algeria,DZA,2018,1844422
Algeria,DZA,2017,1725198
Algeria,DZA,2016,1831056
Algeria,DZA,2015,1694426
"Egypt, Arab Rep.",EGY,2024,8581339
"Egypt, Arab Rep.",EGY,2023,8360875
"Egypt, Arab Rep.",EGY,2022,7646643
"Egypt, Arab Rep.",EGY,2021,7226065
"Egypt, Arab Rep.",EGY,2020,7564385
"Egypt, Arab Rep.",EGY,2019,7403472
"Egypt, Arab Rep.",EGY,2018,6701763
"Egypt, Arab Rep.",EGY,2017,6337413
"Egypt, Arab Rep.",EGY,2016,5887541
"Egypt, Arab Rep.",EGY,2015,6490063
Ghana,GHA,2024,1701246
Ghana,GHA,2023,1226635
Ghana,GHA,2022,1244245
Ghana,GHA,2021,1604724
Ghana,GHA,2020,1324504
Ghana,GHA,2019,1079247
Ghana,GHA,2018,1056785
Ghana,GHA,2017,1009755
Ghana,GHA,2016,942463
Ghana,GHA,2015,840595
Kenya,KEN,2024,2005076
Kenya,KEN,2023,1623080
Kenya,KEN,2022,1430000
Kenya,KEN,2021,1435565
Kenya,KEN,2020,1359579
Kenya,KEN,2019,1417000
Kenya,KEN,2018,1306283
Kenya,KEN,2017,1190000
Kenya,KEN,2016,1091000
Kenya,KEN,2015,1076118
Libya,LBY,2023,465168
Libya,LBY,2022,428760
Libya,LBY,2021,422100
Libya,LBY,2020,343599
Libya,LBY,2019,265098
Libya,LBY,2017,105636
Libya,LBY,2016,124050
Morocco,MAR,2024,11789130
Morocco,MAR,2023,9964417
Morocco,MAR,2022,8840340
Morocco,MAR,2021,8448850
Morocco,MAR,2020,7000928
Morocco,MAR,2019,6068803
Morocco,MAR,2018,4715747
Morocco,MAR,2017,4509580
Morocco,MAR,2016,4106683
Morocco,MAR,2015,3987251
Madagascar,MDG,2019,199712.5
Madagascar,MDG,2018,179425
Madagascar,MDG,2017,220000
Madagascar,MDG,2016,138850
Madagascar,MDG,2015,138500
Mozambique,MOZ,2023,489000
Mozambique,MOZ,2022,420500
Mozambique,MOZ,2021,440582
Mozambique,MOZ,2020,417459
Mozambique,MOZ,2019,411938
Mozambique,MOZ,2018,372218
Mozambique,MOZ,2015,335200
Nigeria,NGA,2023,1566109
Nigeria,NGA,2022,1566109
Nigeria,NGA,2021,1566109
Nigeria,NGA,2020,1548622
Nigeria,NGA,2019,1627142
Nigeria,NGA,2018,1560000
Nigeria,NGA,2017,1408000
Nigeria,NGA,2016,1272000
Nigeria,NGA,2015,1544183
Senegal,SEN,2024,881239
Senegal,SEN,2023,848276
Senegal,SEN,2022,738000
Senegal,SEN,2021,769358
Senegal,SEN,2020,696899
Senegal,SEN,2019,695698
Senegal,SEN,2018,674000
Senegal,SEN,2017,570500
Senegal,SEN,2016,540000
Senegal,SEN,2015,529724
Tunisia,TUN,2024,491955
Tunisia,TUN,2023,444714
Tunisia,TUN,2022,431420
Tunisia,TUN,2021,469658
Tunisia,TUN,2020,483178
Tunisia,TUN,2019,474222
Tunisia,TUN,2018,493366
Tunisia,TUN,2017,480619
Tunisia,TUN,2016,489670
Tunisia,TUN,2015,471248
Tanzania,TZA,2024,985000
Tanzania,TZA,2022,700000
Tanzania,TZA,2021,700000
Tanzania,TZA,2020,709881
Tanzania,TZA,2019,726431
Tanzania,TZA,2018,705231
Tanzania,TZA,2017,617266
Tanzania,TZA,2016,630290
Tanzania,TZA,2015,639230
United States,USA,2024,59707490
United States,USA,2023,54618858
United States,USA,2022,61191458
United States,USA,2021,60874671
United States,USA,2020,53059014
United States,USA,2019,54236516
United States,USA,2018,52994177
United States,USA,2017,50196165
United States,USA,2016,46940227
United States,USA,2015,46496985
South Africa,ZAF,2024,4303682
South Africa,ZAF,2023,4123821
South Africa,ZAF,2022,4053350
South Africa,ZAF,2021,4415223
South Africa,ZAF,2020,4075618
South Africa,ZAF,2019,4529034
South Africa,ZAF,2018,4892423
South Africa,ZAF,2017,4563618
South Africa,ZAF,2016,4354666
South Africa,ZAF,2015,4662479
