country_id,country_name,indicator_id,indicator_name,year,value
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2025,11305
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2024,7838
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2023,6002
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2022,26777
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2021,1322
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2020,-12390
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2019,2043
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2018,5395
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2017,-796
CIV,Cote d'Ivoire,SM.POP.NETM,Net migration,2016,18568
CMR,Cameroon,SM.POP.NETM,Net migration,2025,-15379
CMR,Cameroon,SM.POP.NETM,Net migration,2024,-13892
CMR,Cameroon,SM.POP.NETM,Net migration,2023,-4798
CMR,Cameroon,SM.POP.NETM,Net migration,2022,-4798
CMR,Cameroon,SM.POP.NETM,Net migration,2021,-9888
CMR,Cameroon,SM.POP.NETM,Net migration,2020,-9888
CMR,Cameroon,SM.POP.NETM,Net migration,2019,-12255
CMR,Cameroon,SM.POP.NETM,Net migration,2018,-9184
CMR,Cameroon,SM.POP.NETM,Net migration,2017,-37912
CMR,Cameroon,SM.POP.NETM,Net migration,2016,13255
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2025,-57305
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2024,123884
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2023,305006
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2022,13707
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2021,6161
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2020,6016
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2019,7050
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2018,20788
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2017,-80000
EGY,"Egypt, Arab Rep.",SM.POP.NETM,Net migration,2016,-71604
ETH,Ethiopia,SM.POP.NETM,Net migration,2025,24054
ETH,Ethiopia,SM.POP.NETM,Net migration,2024,30069
ETH,Ethiopia,SM.POP.NETM,Net migration,2023,-11996
ETH,Ethiopia,SM.POP.NETM,Net migration,2022,-11996
ETH,Ethiopia,SM.POP.NETM,Net migration,2021,-1377
ETH,Ethiopia,SM.POP.NETM,Net migration,2020,38866
ETH,Ethiopia,SM.POP.NETM,Net migration,2019,-10807
ETH,Ethiopia,SM.POP.NETM,Net migration,2018,9302
