feature,level,count,proportion
sex,M,6168,0.514
sex,F,5832,0.486
smoking_status,never,5922,0.4935
smoking_status,former,3924,0.327
smoking_status,current,2154,0.1795
insurance_type,public,5769,0.4808
insurance_type,private,5028,0.419
insurance_type,uninsured,1203,0.1003
region,South,2465,0.2054
region,East,2440,0.2033
region,Central,2434,0.2028
region,North,2331,0.1943
region,West,2330,0.1942
age_group,55-64,3889,0.3241
age_group,45-54,3119,0.2599
age_group,65-74,2307,0.1923
age_group,<45,1728,0.144
age_group,75+,957,0.0798
