feature,count,mean,std,min,q25,median,q75,max,skew,kurtosis
age,12000,57.358,12.043,18.0,49.0,57.0,65.0,95.0,0.01,-0.005
bmi,12000,30.548,5.52,15.0,26.8,30.5,34.3,52.629,0.048,-0.052
hba1c,12000,7.75,1.497,4.2,6.7,7.7,8.8,13.738,0.107,-0.091
fasting_glucose,12000,144.986,45.178,55.0,113.0,144.0,176.0,322.0,0.155,-0.291
systolic_bp,12000,133.831,16.08,85.0,123.0,134.0,145.0,198.159,-0.017,-0.006
diastolic_bp,12000,81.483,10.117,45.0,75.0,81.0,88.0,121.0,0.041,-0.021
ldl,12000,112.169,31.722,35.0,91.0,112.5,134.0,229.0,0.013,-0.176
hdl,12000,46.21,11.848,18.0,38.0,46.0,54.0,93.614,0.117,-0.073
triglycerides,12000,166.889,68.32,40.0,118.0,166.0,214.0,440.397,0.174,-0.302
creatinine,12000,1.029,0.353,0.4,0.77,1.02,1.27,2.443,0.215,-0.342
egfr,12000,123.029,15.425,65.0,113.0,124.0,135.0,145.0,-0.432,-0.379
urine_acr,12000,32.424,27.751,0.0,11.9,24.9,45.0,146.327,1.511,2.572
years_since_diagnosis,12000,7.448,4.278,0.1,4.3,6.6,9.7,24.782,1.078,1.382
comorbidity_index,12000,1.394,0.975,0.001,0.627,1.196,2.003,6.357,0.884,0.438
pulse_pressure,12000,52.347,18.972,-23.0,39.0,52.0,65.0,126.0,0.014,-0.017
tg_hdl_ratio,12000,3.902,2.064,0.5,2.48,3.585,4.95,16.67,1.214,2.729
visit_count_12m,12000,3.597,2.303,0.0,2.0,3.0,5.0,17.0,0.916,1.137
no_show_rate,12000,0.078,0.171,0.0,0.0,0.0,0.0,1.0,2.942,10.369
flag_burden,12000,1.603,1.341,0.0,1.0,1.0,3.0,5.0,0.666,-0.715
