,0
num__visit_count_12m,0.18719297371426105
num__comorbidity_index,0.09853660561039891
num__age,0.07000705520930886
num__hba1c,0.06662520956023499
num__egfr,0.06419743576224322
num__flag_burden,0.03348920189345278
num__avg_duration,0.02904101044580187
num__poor_glycemic_flag,0.02889859577173068
num__years_since_diagnosis,0.028102528625886275
num__creatinine,0.02512985717887733
num__bmi,0.024353389862155423
num__systolic_bp,0.022450877915062683
num__ldl,0.021521595790062905
num__urine_acr,0.02023208152968715
num__fasting_glucose,0.020229153777508953
num__pulse_pressure,0.019699451868041406
num__tg_hdl_ratio,0.019666705987273513
num__triglycerides,0.019069540641021888
num__diastolic_bp,0.018397765938762186
num__hdl,0.01790382491816853
