,0
num__visit_count_12m,0.25081453
num__comorbidity_index,0.076792955
num__flag_cardiac,0.07135572
num__egfr,0.06389414
num__age,0.04708844
num__flag_neuro,0.040411133
num__flag_burden,0.033481646
num__hba1c,0.026806196
num__flag_renal,0.025370788
cat__smoking_status_current,0.02238714
num__years_since_diagnosis,0.020082489
num__flag_poor_control,0.019414175
num__n_urgent,0.015795564
cat__region_East,0.015369525
num__bmi,0.015247321
num__systolic_bp,0.014338555
cat__sex_F,0.014057226
cat__region_Central,0.013812295
cat__region_West,0.013635648
cat__insurance_type_public,0.013401494
