feature,mutual_info
visit_count_12m,0.1133
avg_duration,0.0596
comorbidity_index,0.0561
age,0.0497
hba1c,0.049
flag_burden,0.0488
egfr,0.0467
no_show_rate,0.0326
poor_glycemic_flag,0.0304
flag_renal,0.029
flag_referral,0.0267
flag_cardiac,0.0209
n_urgent,0.0174
creatinine,0.0169
systolic_bp,0.0128
ldl,0.0065
urine_acr,0.0063
hypertension_flag,0.0058
ckd_flag,0.0053
flag_neuro,0.0051
diastolic_bp,0.0048
flag_retinal,0.0043
triglycerides,0.0042
years_since_diagnosis,0.0018
tg_hdl_ratio,0.0006
albuminuria_flag,0.0
bmi,0.0
fasting_glucose,0.0
hdl,0.0
pulse_pressure,0.0
obese_flag,0.0
flag_poor_control,0.0
high_risk_ldl_flag,0.0
