week,series,forecast,lower,upper,method
2026-09-21,total,720.0,645.5,794.4,ensemble(prophet+sarima)
2026-09-28,total,711.3,636.8,785.7,ensemble(prophet+sarima)
2026-10-05,total,706.8,632.4,781.3,ensemble(prophet+sarima)
2026-10-12,total,709.3,634.8,783.7,ensemble(prophet+sarima)
2026-10-19,total,729.8,655.4,804.3,ensemble(prophet+sarima)
2026-10-26,total,753.7,679.2,828.2,ensemble(prophet+sarima)
2026-11-02,total,783.3,708.9,857.8,ensemble(prophet+sarima)
2026-11-09,total,799.2,724.8,873.7,ensemble(prophet+sarima)
2026-11-16,total,823.3,748.8,897.8,ensemble(prophet+sarima)
2026-11-23,total,835.0,760.5,909.4,ensemble(prophet+sarima)
2026-11-30,total,834.8,760.3,909.2,ensemble(prophet+sarima)
2026-12-07,total,828.2,753.8,902.7,ensemble(prophet+sarima)
2026-09-21,endocrinology,252.5,213.0,292.1,ensemble(prophet+sarima)
2026-09-28,endocrinology,253.6,214.0,293.2,ensemble(prophet+sarima)
2026-10-05,endocrinology,246.0,206.4,285.5,ensemble(prophet+sarima)
2026-10-12,endocrinology,247.9,208.4,287.5,ensemble(prophet+sarima)
2026-10-19,endocrinology,249.0,209.4,288.5,ensemble(prophet+sarima)
2026-10-26,endocrinology,261.3,221.8,300.9,ensemble(prophet+sarima)
2026-11-02,endocrinology,272.3,232.7,311.8,ensemble(prophet+sarima)
2026-11-09,endocrinology,275.2,235.6,314.7,ensemble(prophet+sarima)
2026-11-16,endocrinology,287.7,248.1,327.2,ensemble(prophet+sarima)
2026-11-23,endocrinology,286.9,247.3,326.4,ensemble(prophet+sarima)
2026-11-30,endocrinology,292.4,252.9,332.0,ensemble(prophet+sarima)
2026-12-07,endocrinology,286.3,246.7,325.8,ensemble(prophet+sarima)
2026-09-21,primary_care,248.4,220.5,276.3,ensemble(prophet+sarima)
2026-09-28,primary_care,247.9,219.9,275.8,ensemble(prophet+sarima)
2026-10-05,primary_care,242.7,214.8,270.6,ensemble(prophet+sarima)
2026-10-12,primary_care,242.5,214.6,270.5,ensemble(prophet+sarima)
2026-10-19,primary_care,251.4,223.4,279.3,ensemble(prophet+sarima)
2026-10-26,primary_care,261.0,233.1,288.9,ensemble(prophet+sarima)
2026-11-02,primary_care,274.9,247.0,302.9,ensemble(prophet+sarima)
2026-11-09,primary_care,281.1,253.1,309.0,ensemble(prophet+sarima)
2026-11-16,primary_care,291.7,263.8,319.7,ensemble(prophet+sarima)
2026-11-23,primary_care,293.6,265.7,321.6,ensemble(prophet+sarima)
2026-11-30,primary_care,285.5,257.5,313.4,ensemble(prophet+sarima)
2026-12-07,primary_care,290.7,262.8,318.7,ensemble(prophet+sarima)
2026-09-21,cardiology,72.8,49.6,96.0,ensemble(prophet+sarima)
2026-09-28,cardiology,69.7,46.5,92.8,ensemble(prophet+sarima)
2026-10-05,cardiology,74.1,51.0,97.3,ensemble(prophet+sarima)
2026-10-12,cardiology,71.0,47.8,94.1,ensemble(prophet+sarima)
2026-10-19,cardiology,72.4,49.2,95.5,ensemble(prophet+sarima)
2026-10-26,cardiology,73.3,50.1,96.4,ensemble(prophet+sarima)
2026-11-02,cardiology,77.4,54.2,100.5,ensemble(prophet+sarima)
2026-11-09,cardiology,78.6,55.4,101.7,ensemble(prophet+sarima)
2026-11-16,cardiology,81.2,58.0,104.4,ensemble(prophet+sarima)
2026-11-23,cardiology,82.4,59.2,105.5,ensemble(prophet+sarima)
2026-11-30,cardiology,83.1,59.9,106.2,ensemble(prophet+sarima)
2026-12-07,cardiology,83.7,60.6,106.9,ensemble(prophet+sarima)
2026-09-21,nephrology,60.2,44.8,75.7,ensemble(prophet+sarima)
2026-09-28,nephrology,62.4,47.0,77.8,ensemble(prophet+sarima)
2026-10-05,nephrology,57.3,41.9,72.7,ensemble(prophet+sarima)
2026-10-12,nephrology,58.7,43.3,74.1,ensemble(prophet+sarima)
2026-10-19,nephrology,58.6,43.2,74.0,ensemble(prophet+sarima)
2026-10-26,nephrology,61.7,46.3,77.1,ensemble(prophet+sarima)
2026-11-02,nephrology,64.7,49.3,80.1,ensemble(prophet+sarima)
2026-11-09,nephrology,67.3,51.8,82.7,ensemble(prophet+sarima)
2026-11-16,nephrology,69.4,54.0,84.8,ensemble(prophet+sarima)
2026-11-23,nephrology,73.1,57.7,88.5,ensemble(prophet+sarima)
2026-11-30,nephrology,70.4,55.0,85.8,ensemble(prophet+sarima)
2026-12-07,nephrology,69.2,53.8,84.6,ensemble(prophet+sarima)
2026-09-21,ophthalmology,81.3,62.4,100.1,ensemble(prophet+sarima)
2026-09-28,ophthalmology,78.0,59.2,96.9,ensemble(prophet+sarima)
2026-10-05,ophthalmology,86.0,67.1,104.8,ensemble(prophet+sarima)
2026-10-12,ophthalmology,87.0,68.1,105.8,ensemble(prophet+sarima)
2026-10-19,ophthalmology,89.4,70.5,108.2,ensemble(prophet+sarima)
2026-10-26,ophthalmology,90.6,71.8,109.5,ensemble(prophet+sarima)
2026-11-02,ophthalmology,87.9,69.1,106.8,ensemble(prophet+sarima)
2026-11-09,ophthalmology,88.5,69.6,107.3,ensemble(prophet+sarima)
2026-11-16,ophthalmology,90.7,71.9,109.6,ensemble(prophet+sarima)
2026-11-23,ophthalmology,90.4,71.6,109.3,ensemble(prophet+sarima)
2026-11-30,ophthalmology,90.5,71.6,109.3,ensemble(prophet+sarima)
2026-12-07,ophthalmology,90.1,71.2,108.9,ensemble(prophet+sarima)
