feature,missing_rate
patient_id,0.0
age,0.0
sex,0.0
bmi,0.0
smoking_status,0.0
years_since_diagnosis,0.0
family_history_diabetes,0.0
insurance_type,0.0
region,0.0
sample_date,0.0
hba1c,0.0
fasting_glucose,0.0
systolic_bp,0.0
diastolic_bp,0.0
ldl,0.0
hdl,0.0
triglycerides,0.0
creatinine,0.0
egfr,0.0
urine_acr,0.0
visit_count_12m,0.0
no_show_rate,0.0
avg_duration,0.0
n_urgent,0.0
flag_poor_control,0.0
flag_renal,0.0
flag_retinal,0.0
flag_neuro,0.0
flag_cardiac,0.0
flag_referral,0.0
complication,0.0
deteriorated_12m,0.0
age_group,0.0
comorbidity_index,0.0
pulse_pressure,0.0
tg_hdl_ratio,0.0
ckd_flag,0.0
obese_flag,0.0
poor_glycemic_flag,0.0
hypertension_flag,0.0
albuminuria_flag,0.0
high_risk_ldl_flag,0.0
flag_burden,0.0
