feature,anova_F,anova_p,kruskal_H,kruskal_p,significant
age,398.136,1.4e-322,1357.845,9.55200581947192e-293,True
bmi,21.995,4.125058284466801e-18,85.727,1.0635209221876533e-17,True
hba1c,328.685,7.42338707357275e-269,1159.046,1.2030502422920603e-249,True
fasting_glucose,11.145,5.051570949756552e-09,42.477,1.3281847653966488e-08,True
systolic_bp,121.062,1.9162879446347418e-101,454.391,4.882608723240908e-97,True
diastolic_bp,0.811,0.5179754889765537,2.97,0.5629300771095438,False
ldl,21.65,8.05962995285298e-18,85.656,1.1010531458370779e-17,True
hdl,1.512,0.19568403418847427,5.763,0.21759064523343805,False
triglycerides,1.018,0.39647837184641327,2.967,0.5633850685190365,False
creatinine,78.978,3.007018231855311e-66,296.403,6.465776320283538e-63,True
egfr,386.645,8.983641013e-314,1258.322,3.6169800509708084e-271,True
urine_acr,3.865,0.0038503700478168673,15.779,0.0033299092571257662,True
years_since_diagnosis,49.44,2.511017633722887e-41,159.775,1.6339322522012194e-33,True
comorbidity_index,402.785,0.0,1369.265,3.19165127466587e-295,True
pulse_pressure,81.373,2.9180306184800907e-68,302.484,3.154581149038957e-64,True
tg_hdl_ratio,1.896,0.10816067484405383,6.228,0.18274167216501244,False
visit_count_12m,920.915,0.0,2686.018,0.0,True
no_show_rate,1.891,0.10892332211619425,184.794,6.963507480181877e-39,False
flag_burden,697.649,0.0,2935.017,0.0,True
