feature,point_biserial_r,p_value,significant
visit_count_12m,0.466,0.0,True
comorbidity_index,0.35,0.0,True
hba1c,0.307,1.1991061284238789e-260,True
age,0.306,1.7500508754748715e-258,True
egfr,-0.305,6.987839532807559e-256,True
flag_burden,0.224,6.321377703975136e-136,True
creatinine,0.161,2.071697734105457e-70,True
systolic_bp,0.132,4.770751426340372e-48,True
years_since_diagnosis,0.121,1.6767391486578202e-40,True
pulse_pressure,0.103,1.1679902533622702e-29,True
bmi,0.08,1.998969150125823e-18,True
ldl,0.078,9.059296422536725e-18,True
fasting_glucose,0.061,2.3200901101196822e-11,True
hdl,0.019,0.03519800867959701,True
urine_acr,0.018,0.05202304727191854,False
diastolic_bp,0.017,0.0584579643148471,False
no_show_rate,0.013,0.14748633466255204,False
tg_hdl_ratio,-0.011,0.2250242529764944,False
triglycerides,0.003,0.7243613131440565,False
