feature,category,count,proportion
sex,Male,6768,0.6768
sex,Female,3232,0.3232
chest_pain_type,Typical Angina,4635,0.4635
chest_pain_type,Non-Anginal,2966,0.2966
chest_pain_type,Atypical Angina,1696,0.1696
chest_pain_type,Asymptomatic,703,0.0703
fasting_blood_sugar,FBS ≤ 120 mg/dl,8464,0.8464
fasting_blood_sugar,FBS > 120 mg/dl,1536,0.1536
rest_ecg,Normal,4905,0.4905
rest_ecg,LV Hypertrophy,4792,0.4792
rest_ecg,ST-T Abnormality,303,0.0303
exercise_angina,No,6792,0.6792
exercise_angina,Yes,3208,0.3208
st_slope,Flat,4604,0.4604
st_slope,Downsloping,3322,0.3322
st_slope,Upsloping,2074,0.2074
thal,Normal,5526,0.5526
thal,Reversible Defect,3842,0.3842
thal,Fixed Defect,632,0.0632
ca_vessels,0,5838,0.5838
ca_vessels,1,2260,0.226
ca_vessels,2,1228,0.1228
ca_vessels,3,674,0.0674
target,No Disease,7533,0.7533
target,Disease,2467,0.2467
age_group,50-59,4279,0.4279
age_group,40-49,2628,0.2628
age_group,60-69,2216,0.2216
age_group,30-39,493,0.0493
age_group,70+,384,0.0384
bp_category,Normal,4779,0.4779
bp_category,Elevated,2466,0.2466
bp_category,Stage1,1690,0.169
bp_category,Stage2,1065,0.1065
cholesterol_category,Desirable,4897,0.4897
cholesterol_category,Borderline,4054,0.4054
cholesterol_category,High,1049,0.1049
