feature,count,mean,std,min,q25,median,q75,max,iqr,skewness,kurtosis,cv
age,10000,53.8718,8.7134,30.0,48.0,54.0,60.0,80.0,12.0,0.0371,-0.271,0.1617
resting_bp,10000,120.4613,15.0544,90.0,110.0,120.0,130.25,179.0,20.25,0.1515,-0.2183,0.125
cholesterol,10000,205.76,26.1178,161.0,187.0,200.0,219.0,401.0,32.0,1.3093,2.6379,0.1269
max_heart_rate,10000,140.9501,19.5549,70.0,128.0,141.0,154.0,210.0,26.0,-0.0253,0.0042,0.1387
st_depression,10000,1.0284,0.9083,0.0,0.4,0.8,1.4,6.5,1.0,1.7189,4.1496,0.8832
ca_vessels,10000,0.6738,0.9327,0.0,0.0,0.0,1.0,3.0,1.0,1.1887,0.2739,1.3842
comorbidity_index,10000,1.6452,1.1252,0.0,1.0,2.0,2.0,6.0,1.0,0.492,-0.0704,0.6839
hr_reserve_ratio,10000,0.8484,0.1092,0.455,0.776,0.848,0.921,1.307,0.145,-0.0047,0.0932,0.1287
framingham_risk_score,10000,7.909,2.9929,-2.0,6.0,8.0,10.0,20.0,4.0,0.2783,-0.0124,0.3784
ten_year_cvd_risk_pct,10000,20.7295,10.8107,2.56,13.24,19.15,26.89,76.85,13.65,1.162,1.4554,0.5215
ed_visit_count,10000,1.1369,1.6413,0.0,0.0,1.0,2.0,13.0,2.0,2.2307,6.1397,1.4437
ed_avg_los_hours,10000,3.7396,5.2636,0.0,0.0,1.78,5.7,55.37,5.7,2.0617,5.9416,1.4075
