date,demand_low,demand_medium,demand_high,demand_total,icu_beds_needed,monitored_beds_needed,standard_beds_needed,total_beds_needed,acuity_load,physicians_needed,nurses_needed,techs_needed,ecg_needed,echo_needed,lab_draws_needed,bed_utilization,icu_utilization,staff_utilization,capacity_utilization,alert,day_of_week,is_weekend
2026-09-01,3.4,3.6,3.6,10.5,5,3,2,10,21.3,3,6,1,2,1,13,0.556,0.556,0.6,0.6,NORMAL,Tuesday,False
2026-09-02,3.6,3.6,4.1,11.3,5,3,2,10,23.0,3,6,1,2,1,15,0.556,0.556,0.6,0.6,NORMAL,Wednesday,False
2026-09-03,3.6,3.0,3.9,10.4,5,2,2,9,21.1,3,6,1,2,1,13,0.5,0.556,0.6,0.6,NORMAL,Thursday,False
2026-09-04,4.1,3.3,3.9,11.3,5,2,2,9,22.4,3,6,1,2,1,14,0.5,0.556,0.6,0.6,NORMAL,Friday,False
2026-09-05,5.1,4.2,4.7,14.0,6,3,2,11,27.5,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Saturday,True
2026-09-06,4.9,3.9,4.8,13.6,6,3,2,11,27.0,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Sunday,True
2026-09-07,4.1,3.6,4.0,11.7,5,3,2,10,23.2,3,6,1,2,1,14,0.556,0.556,0.6,0.6,NORMAL,Monday,False
2026-09-08,3.7,3.3,3.7,10.6,5,2,2,9,21.3,3,6,1,2,1,13,0.5,0.556,0.6,0.6,NORMAL,Tuesday,False
2026-09-09,4.0,3.3,4.1,11.4,5,2,2,9,23.0,3,6,1,2,1,14,0.5,0.556,0.6,0.6,NORMAL,Wednesday,False
2026-09-10,4.0,2.8,3.9,10.7,5,2,2,9,21.3,3,6,1,2,1,13,0.5,0.556,0.6,0.6,NORMAL,Thursday,False
2026-09-11,4.5,3.2,3.9,11.6,5,2,2,9,22.7,3,6,1,2,1,14,0.5,0.556,0.6,0.6,NORMAL,Friday,False
2026-09-12,5.5,4.0,4.7,14.2,6,3,2,11,27.6,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Saturday,True
2026-09-13,5.3,3.8,4.8,13.9,6,3,2,11,27.3,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Sunday,True
2026-09-14,4.4,3.5,4.0,11.9,5,3,2,10,23.4,3,6,1,2,1,14,0.556,0.556,0.6,0.6,NORMAL,Monday,False
2026-09-15,4.0,3.3,3.7,11.0,5,2,2,9,21.7,3,6,1,2,1,13,0.5,0.556,0.6,0.6,NORMAL,Tuesday,False
2026-09-16,4.2,3.4,4.2,11.8,5,3,2,10,23.5,3,6,1,2,1,15,0.556,0.556,0.6,0.6,NORMAL,Wednesday,False
2026-09-17,4.2,2.9,3.9,11.0,5,2,2,9,21.8,3,6,1,2,1,13,0.5,0.556,0.6,0.6,NORMAL,Thursday,False
2026-09-18,4.7,3.3,4.0,12.0,5,2,2,9,23.2,3,6,1,2,1,14,0.5,0.556,0.6,0.6,NORMAL,Friday,False
2026-09-19,5.7,4.1,4.8,14.6,6,3,2,11,28.2,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Saturday,True
2026-09-20,5.4,4.0,4.8,14.2,6,3,2,11,27.9,3,7,2,2,1,17,0.611,0.667,0.7,0.7,NORMAL,Sunday,True
2026-09-21,4.5,3.7,4.0,12.3,5,3,2,10,24.1,3,6,1,2,1,15,0.556,0.556,0.6,0.6,NORMAL,Monday,False
